gene,mode_22,mode_23,mode_24,mode_25,mode_26,mode_27,mode_28,mode_29,mode_30,mode_31,mode_32,mode_33,mode_34,mode_35,mode_36,mode_37,mode_38,mode_39,mode_40,mode_41,mode_42,mode_43,mode_44,mode_45,mode_46,mode_47,mode_48,mode_49,mode_50,mode_51,mode_52,mode_53,mode_54,mode_55,mode_56,mode_57,mode_58,mode_59,mode_60,mode_61,mode_62
KRAS,-0.0016305498602783523,-0.01187018057527032,-0.11339963982080217,0.006336445998155,0.07760039118864819,0.026832542191581595,-0.07959309823277004,-0.07858928598266947,-0.013380965042948294,-0.0003886603274208507,0.09988371145016793,0.04664025852471275,-0.050340521349086294,0.03703875768554545,0.19594345546110975,-0.09911030700256102,-0.018799642696998096,0.010216083092070172,-0.03940038921491384,-0.01725942116289977,0.08869293804961591,0.05462688312823133,0.03720781948006625,-0.06293056730026636,0.10257643165138253,0.10543535957615902,0.028605672969204094,-0.1313331791291835,0.10314957446868435,0.10716564999721412,0.16311566607536873,-0.048681316964957054,-0.022348926846918242,0.13422708693627597,0.0029840285918889212,-0.008511816803526346,0.01408192732079868,0.0595766808176344,0.05529659037979006,0.055888986732738594,0.06283267875979309
DNMT3A,-0.09554997306310616,-0.0246324147092629,0.0799152138609062,-0.1248852207199804,0.12325071976418095,-0.043333732228694764,0.005148263929779893,-0.140612132341654,0.10210288569232068,0.1338176344820357,0.09081005630761439,-0.1331203851929429,-0.12867438783127616,-0.0022533686593995037,0.2143357184036219,-0.07105079395699,-0.07582874775792853,0.07886372713515456,0.06539938489603918,0.08818839843778027,-0.05345821205438417,-0.04543513927143562,-0.06677197396348789,-0.03527555736215571,-0.044825461306470235,-0.06427145046575028,0.09071372180809477,0.017097373464897907,-0.03316838398872977,-0.10950762586776405,-0.06999729069134542,0.12742798549158754,0.05332655982414643,-0.023882103696515018,-0.011601717166264867,0.002953896707588785,0.011046543214638585,-0.02953849660380631,-0.07628744251612204,-0.0252712646402965,0.01606692779823719
ASXL1,-0.06734174107599743,-0.14669400904667004,0.08447026670001655,0.23400184262094967,-0.10491677016376423,-0.02555228980054963,-0.07261517820377528,0.029794315291588998,-0.13775722523563347,-0.07407680248473615,-0.0862930478810396,0.26063108854050926,-0.07165084375127447,0.12696440796476144,-0.03666896833171832,-0.08806820271486485,-0.1889050572602838,0.1856072957288904,-0.0282923372385904,-0.07153314217364233,0.029328063669955405,-0.04588592985847326,0.04511265401553104,-0.1520383136433927,-0.03765202424799555,-0.04303579091937555,0.09228036660923856,0.06746609209099559,-0.099954682459144,0.0017421725230302733,-0.12534665393949285,-0.15098936508727814,-0.19364342253769443,-0.08589151447887496,-0.13076945452082575,0.13636588424896734,0.003073376754679117,0.05713240940753786,0.05950183913790516,-0.13562053635749083,0.06623696813883978
U2AF1,-0.14221965939655287,-0.05880288386207008,-0.27720846635536034,-0.03655491373854418,-0.055487363981095356,0.06489886200347413,-0.0694072096736252,0.16141049708828642,-0.029490480503876176,0.09631843217442891,-0.15314040552109698,0.08567945566599079,0.019354084903762742,0.11243779121570688,0.016838093104032514,-0.09633405252506104,-0.02492644391131912,-0.05478626404794472,-0.10478483047168334,-0.05538976542032778,0.181078457633446,-0.11124638752043989,-0.038567274600859285,0.04936465638628994,0.06726204062331559,-0.053763705388121454,0.02210667674264043,0.06234621363273975,0.018881855617624923,-0.11583963472724355,0.04373344095316135,0.10704360237376273,0.11885655619057006,-0.022742344395418102,-0.015440946153464212,-0.10071421826629827,0.05635948008347911,-0.020687931805238296,0.04499402491509673,0.15126508818304552,0.018560873874412083
GATA2,0.1766600064806543,-0.03127116592320906,0.017291461318775184,-0.01532379869168383,-0.22454154592762304,-0.05531247736688763,0.049527600789823996,0.06685497336967278,0.047661204979079164,-0.03794904146737306,-0.06322619663511934,-0.09522270566133824,-0.07150198160559647,0.09052682542300436,0.05404839648615178,0.02589230372237224,-0.037189841948633715,-0.03872265417814455,-0.09396183686590273,0.04870133327343734,0.07779387901563507,-0.1603146078815259,-0.044503310359715866,0.10895268933787942,-0.03410816428449994,0.06512846661485364,0.05601810195063,0.0027152695945545703,-0.06575711201589889,0.017197062832980458,-0.06622127486424724,0.032544088175443985,-0.09808570931574011,0.1653212052517022,-0.07815676010051899,0.011082517109785852,0.013773191980804778,0.07765065395548446,-0.08854151348018821,0.03251669651278168,0.14321854687825605
CEBPA,-0.06304372900030085,-0.009047002897737884,-0.01096936012757453,-0.02537167834199783,-0.02446720970599424,0.005424005272056839,-0.11787569789319523,0.08181862988303858,-0.01158754115903549,-0.11598887118021836,0.003327367674158482,-0.01407518150473033,0.047432253767356894,0.056376484893721455,-0.10193976309666881,-0.028923092525620656,-0.021101654958031103,0.061921544392491534,0.03232662615094835,0.020594117566959034,-0.049097736240645645,-0.057647567198084566,-0.01621723402099772,0.0599693797471271,-0.08489056146110313,-0.07328046292658316,0.07995526883299249,-0.05604173078543714,-0.08469987349311618,0.029656112741133216,0.08263775651527065,-0.010263702158832586,-0.057120126153584444,0.036729559026525437,0.07632048646559246,-0.06687224002313875,0.039694003938959894,0.09541014679115711,-0.001832619563691023,-0.0001738812868424912,-0.02816559977770954
NUP214,-0.013671957653916489,-0.09492580113624706,0.033798060499126134,0.08107703558611223,-0.02249846030877621,-0.019237844197177882,-0.05880591031506435,0.06104764605575499,0.03523637308066557,0.12652770012688255,0.04212492796240462,0.002678553943370088,-0.04068366841772329,0.0002608398374488267,-0.0045654493706231165,0.026470735097605377,-0.0013609411669936486,-0.03855935195530889,0.02148462127708568,-0.05919651233041941,0.047101433901753656,0.06343927345979262,0.017875340620753404,-0.05185855679069103,0.028203888536252483,-0.039308150663401764,-0.04378026408670239,-0.010262231240602016,0.06710109376546695,-0.060125638344532675,-0.09307628016852877,-0.05252397125737223,-0.009040645209217192,-0.000216161511551045,0.045771158858423755,-0.009308922634283167,0.07231061605058063,-0.033447168744812336,0.005966667283990329,-0.023299412681662836,-0.0363282590734872
KIT,0.0053724351897763405,-0.04410256720456515,0.03858050295739818,-0.02799191587783001,0.007428691992710797,-0.0025253705035538786,0.03197269323602125,0.01099305873072588,-0.042578373761993485,-0.015594233654547715,0.004555917093067962,-0.0015134704637731243,0.012679325250920935,-0.05488147783241352,-0.022975629214475195,0.003001809129074454,-0.00865633731786819,0.03144336556340406,-0.03823285850844404,0.012839181539328396,0.0018289080446049156,-0.006335099442873612,0.0014191918824560186,0.002858607324336247,-0.028993180852743494,0.00082720407348244,-0.012848119795040209,0.003970900548722615,0.0770376339125377,0.009052557663357313,0.004729852077252646,-0.03533471725862928,-0.016598975932285088,0.05758267178556139,0.007677696901122242,-0.008813767874225992,-0.0020266167166872267,0.03438969173582061,0.004749460913652431,0.006266233623146098,-0.01677710483332495
PTPN11,-0.01684151532391875,-0.010818028179271903,0.03213981107862094,-0.041505970876184926,-0.019665054217816003,-0.013486072777908198,0.009465498726900841,0.037151533177812696,-0.04478564951023151,0.016652522469964428,0.03218687091156803,0.012855002031082377,-0.02542336805875577,-0.01841604326461126,-0.004058101708589042,-0.03015341075189434,0.006196829866940177,0.001475846917018762,0.009191664702503016,0.046746141886645366,-0.025035451252740763,-0.006574482705927854,0.012372731521698063,-0.016541205583330967,0.011694010742825256,0.007692410528544478,-0.0313331987998251,0.0021698799758989315,0.007248866209924527,-0.03559454571493762,-0.013333705043348491,-0.024757690509611636,0.03175146881852576,0.03921775260114206,0.006554273330617619,0.032237132502909285,0.02539611564310133,0.045392123872346486,-0.0015331335371243527,-0.0014123145974120092,-0.006294629216518266
STAG2,0.07108290150283733,0.014107263742448549,0.023128656984013042,-0.030809868268119673,-0.04000305961173501,-0.12527619904568887,-0.08090536028199768,-0.008523823974756647,-0.045857036845763435,0.004468935770958075,-0.1320683752341683,-0.17360440386259532,-0.01735271430140822,-0.12631637099316217,0.020629537775262285,0.004160355607301964,-0.005479805350701822,-0.008725440262846282,-0.06052102097351032,-0.05273886954494017,-0.08557618885520563,-0.04420828482513405,0.034192017140997615,-0.020035546208780078,0.02769297143202663,-0.02803110128840272,0.0650730028388085,-0.010015915004488988,-0.011558654781063818,-0.0707250047915417,0.054585422826313575,-0.09090140206615269,-0.021701878460135094,0.07586167036797384,0.026960876911883397,-0.008957889293069626,-0.024535824950383957,-0.008524172597004177,0.059000098871139744,0.024062945717708367,0.023636168515910206
