gene,tree_distance_axis_1,tree_distance_axis_2,cluster_id
HSPA12A,-0.008166870416550964,0.023897744702692847,4
MLLT1,-0.03966329714699381,0.024730562606071267,4
ERP44,-0.004675099625741706,0.044803604686285387,4
NFIC,-0.01798681655935869,-0.029790202932963004,2
SNAPC4,0.03794306903459775,0.020713363901735806,4
MLLT3,-0.039159858449462445,0.024761656373998582,4
QPRT,0.028225149906583816,0.0265256112189683,4
KPNA4,0.0021126622982057955,0.035527117957150044,4
NFIA,-0.01774375390813391,-0.02952518153765338,2
CBX4,-0.01734107312316524,0.03747231156024481,4
NFIX,0.03186049094960719,-0.03696170028950026,1
SHARPIN,-0.015772859694255854,0.02708831367716996,4
RING1,0.03296415573343145,0.03013834466548969,4
C6ORF141,0.03254615543842814,0.003911685449031262,4
YAF2,-0.01426419440923928,0.022423235340422887,4
PPP4R1L,-0.005831444860209387,0.02406419419947965,4
RNF2,-0.04476660675978795,-0.04684545270968501,0
BCL6,-0.015163000376211556,0.024039976824361677,4
NAA10,-0.010058535595627945,0.0302456192278782,4
DCAF7,-0.016407649336417918,-0.031966442872866714,2
RYBP,-0.0036510062724920836,0.04082009197352693,4
CBX8,0.0365297445529918,-0.03762755558621157,1
PIP,-0.015067632058333716,-0.03118473226580974,2
NCAPH2,0.033041771342155184,0.0005217110760264513,4
B4GALT2,-0.007811089436573186,0.023902564878141484,4
SP1,0.004317018504858287,0.032807802958921314,4
CTBP1,-0.04696645692232075,-0.004245756822039838,3
CDC16,0.007777484113948106,0.04485468336775837,4
CBX3,-0.03442098899198973,-0.05425039901653614,0
BRAF,-0.03493640995928514,-0.013498465556313212,3
CCDC96,0.01140827629167897,-0.004459206204625953,4
CBX6,0.01001092160314817,-0.047161629139808335,1
SKP1,0.01204652434935504,0.043318002267211116,4
S100P,0.03674083231661941,0.018764554455348033,4
USP7,0.00421727918483166,0.04437500274490516,4
