axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
7,mode_07,top_absolute,Transcriptional Regulation by E2F6,,Transcriptional Regulation by E2F6,51,0.34,0.9248187049730301,0.11581462224996483,0.11581462224996483,positive,9
7,mode_07,top_absolute,Oxidative Stress Induced Senescence,,Oxidative Stress Induced Senescence,40,0.26666666666666666,0.8366407419411672,0.11422603497850572,0.11422603497850572,positive,10
7,mode_07,top_absolute,Signal Transduction by L1,,Signal Transduction by L1,27,0.18,0.6800770457282798,0.10900823135583895,0.10900823135583895,positive,11
7,mode_07,top_absolute,Mitophagy,,Mitophagy,26,0.17333333333333334,0.6652735227649414,0.10592447107264118,0.10592447107264118,positive,12
7,mode_07,top_absolute,Condensation of Prometaphase Chromosomes,,Condensation of Prometaphase Chromosomes,31,0.20666666666666667,0.7350626941249581,0.1022294511025412,0.1022294511025412,positive,13
7,mode_07,top_absolute,Cellular Senescence,,Cellular Senescence,49,0.32666666666666666,0.9114844096987045,0.10208851871887016,0.10208851871887016,positive,14
7,mode_07,top_absolute,SUMOylation of Chromatin Organization Proteins,,SUMOylation of Chromatin Organization Proteins,50,0.3333333333333333,0.9182958340544896,0.10126068382024833,0.10126068382024833,positive,15
7,mode_07,top_absolute,RUNX1 Interacts With Co-Factors Whose Precise Effect on RUNX1 Targets Is Not Known,,RUNX1 Interacts With Co-Factors Whose Precise Effect on RUNX1 Targets Is Not Known,43,0.2866666666666667,0.8643763438484613,0.09763600619058233,0.09763600619058233,positive,16
7,mode_07,top_absolute,Protein Folding,,Protein Folding,24,0.16,0.6343095546405662,0.09557040941456989,0.09557040941456989,positive,17
7,mode_07,top_absolute,Chaperonin-mediated Protein Folding,,Chaperonin-mediated Protein Folding,24,0.16,0.6343095546405662,0.09557040941456989,0.09557040941456989,positive,18
7,mode_07,top_absolute,SUMOylation of DNA Damage Response and Repair Proteins,,SUMOylation of DNA Damage Response and Repair Proteins,65,0.43333333333333335,0.9871377743721863,0.09491531251615093,0.09491531251615093,positive,19
7,mode_07,top_absolute,Transcriptional Regulation of White Adipocyte Differentiation,,Transcriptional Regulation of White Adipocyte Differentiation,22,0.14666666666666667,0.6014353864290773,-0.09353398948584093,0.09353398948584093,negative,20
8,mode_08,top_positive,Transport of Ribonucleoproteins Into the Host Nucleus,,Transport of Ribonucleoproteins Into the Host Nucleus,11,0.07333333333333333,0.37824164440536223,0.06107101755636728,0.06107101755636728,positive,26
8,mode_08,top_positive,Cytokine Signaling in Immune System,,Cytokine Signaling in Immune System,48,0.32,0.9043814577244939,0.0591632592495051,0.0591632592495051,positive,28
8,mode_08,top_positive,SUMOylation of DNA Replication Proteins,,SUMOylation of DNA Replication Proteins,16,0.10666666666666667,0.48977901368693755,0.058985639077125104,0.058985639077125104,positive,29
8,mode_08,top_positive,NS1 Mediated Effects on Host Pathways,,NS1 Mediated Effects on Host Pathways,13,0.08666666666666667,0.42524461248637185,0.05894656878102089,0.05894656878102089,positive,30
8,mode_08,top_positive,Interactions of Vpr With Host Cellular Proteins,,Interactions of Vpr With Host Cellular Proteins,10,0.06666666666666667,0.35335933502142136,0.057675600517459624,0.057675600517459624,positive,33
8,mode_08,top_positive,Vpr-mediated Nuclear Import of PICs,,Vpr-mediated Nuclear Import of PICs,10,0.06666666666666667,0.35335933502142136,0.057675600517459624,0.057675600517459624,positive,34
8,mode_08,top_positive,Host Interactions of HIV Factors,,Host Interactions of HIV Factors,17,0.11333333333333333,0.5098891423431209,0.05690404275073769,0.05690404275073769,positive,35
8,mode_08,top_positive,Interferon Signaling,,Interferon Signaling,37,0.24666666666666667,0.805952041954632,0.056669973564433096,0.056669973564433096,positive,36
8,mode_08,top_positive,MyD88 Dependent Cascade Initiated on Endosome,,MyD88 Dependent Cascade Initiated on Endosome,23,0.15333333333333332,0.6181194891000384,0.05627386131798141,0.05627386131798141,positive,39
8,mode_08,top_positive,Toll Like Receptor 9 (TLR9) Cascade,,Toll Like Receptor 9 (TLR9) Cascade,23,0.15333333333333332,0.6181194891000384,0.05627386131798141,0.05627386131798141,positive,40
8,mode_08,top_positive,Toll Like Receptor 7 8 (TLR7 8) Cascade,,Toll Like Receptor 7 8 (TLR7 8) Cascade,23,0.15333333333333332,0.6181194891000384,0.05627386131798141,0.05627386131798141,positive,41
8,mode_08,top_positive,Toll Like Receptor 5 (TLR5) Cascade,,Toll Like Receptor 5 (TLR5) Cascade,23,0.15333333333333332,0.6181194891000384,0.055965105316794835,0.055965105316794835,positive,44
8,mode_08,top_positive,Toll Like Receptor 10 (TLR10) Cascade,,Toll Like Receptor 10 (TLR10) Cascade,23,0.15333333333333332,0.6181194891000384,0.055965105316794835,0.055965105316794835,positive,42
8,mode_08,top_positive,MyD88 Cascade Initiated on Plasma Membrane,,MyD88 Cascade Initiated on Plasma Membrane,23,0.15333333333333332,0.6181194891000384,0.055965105316794835,0.055965105316794835,positive,45
