gene,mode_06,mode_07,mode_08,mode_09,mode_10
ZFPM1,-0.05711807937454917,-0.03704450254154691,0.007465252988590115,0.1480950712580944,0.16743871352302586
RADIL,-0.03707434010700807,0.034165807298666424,-0.05593908662979417,-0.10172965850540397,0.1588767206524855
HIST1H3A,0.09921599494646072,0.14619938621274028,0.09919396231068126,-0.16418252006444917,-0.22998127286725262
ZRSR2P1,0.3365316752756979,-0.10169419338384213,-0.17641838777934984,0.13436255602603908,-0.09549419356976531
PIK3CG,-0.020328641432287638,0.028962704542698958,-0.03010348328051512,-0.03213147216834382,0.02480352866255291
IRX4,-0.1370389785010891,-0.3995915655790426,-0.025442938524524172,0.03449114044497351,0.04316189064300537
CITED1,-0.009816511995686788,-0.05948216455872712,0.05015331685277306,0.17409126023621416,0.11630334322975126
GPATCH11,0.3033723582202887,-0.10076479590240195,-0.1709598720220261,0.07485660994462437,0.05948361025970515
PPP4R3A,-0.05644292531722187,-0.09334240191751071,-0.24807965633449672,-0.02513665690376394,0.07354751978007472
SUV39H1,0.02957775978186789,0.15135799153201038,-0.009539265353361467,-0.22811319877887165,-0.17670080903059268
KITLG,-0.03356191943247212,0.017029823821624858,0.001455973036896579,0.03483706884003104,-0.05408901164107197
PECAM1,-0.029042027473195144,0.02117479008232464,-0.0326817186206206,-0.022613889692839683,0.007191612535991178
HIST1H4A,-0.2584457655683668,0.12423298831933355,0.12359903154169442,-0.027238541774307685,-0.10173814311408018
AVEN,0.17929186973940353,-0.10556159104096725,0.1964576401323837,-0.39922909627383374,0.03594829903515876
MAU2,0.03218323805927866,-0.0214686297926398,0.15126165143332634,-0.020785911248080564,0.07216560537173108
PAWR,0.03784615531037456,0.03432658995713463,-0.011617321430097546,-0.044604261188724986,0.20330787978015166
MATK,-0.050222242736987534,0.03503153926553256,-0.021818630970257033,0.06782588715481673,-0.07859374680468961
RGL2,-0.004306601873910733,0.02086989024734405,-0.03311376204399247,-0.11834369338876011,0.21495118654352693
CDK1,0.08004909540580307,-0.05605539125922166,0.036505210567121894,0.01812614498118124,0.06635145412125408
BCOR,-0.015390179419679292,0.16624507413708012,-0.18469888213093655,0.04546687751099911,0.14531581811769684
CELA1,-0.0664188877748014,-0.09123148273425032,-0.16209641416869572,0.08483271423298641,0.0009273209370177458
CSN1S1,0.012363978550535254,-0.016388790306123547,-0.0071475240447860825,0.001371675704751571,-0.004064582065749348
CBX7,0.1250951006784903,0.43386925021333983,-0.0770707663116178,0.029999597284905206,0.13473939134286145
ZBTB5,-0.123878476835305,-0.18479393815142667,-0.011836435913068676,-0.06346487579670254,0.008031159788117685
PCGF5,0.09173400018826407,0.4411803089935948,-0.14949658842253769,0.01398081015218727,0.16807681352074322
HAO2,-9.84978872218822e-05,-0.039105991475367564,-0.02276384456384845,-0.051957437652666805,-0.02757000408949346
KDM2B,0.01966734254975565,0.0685176925165575,-0.07123199476090998,0.17021479916683804,0.14686944731248286
ZBTB7A,-0.03322187355500143,-0.3028241674433401,0.1507200012908048,-0.027029813323516682,-0.07060594868606589
PCGF1,0.1171442432118296,0.37902341123203204,-0.08853851972385973,0.05722889625493297,-0.012896208631232153
PCGF3,0.09564724911422307,0.42666975281298497,-0.1134406709249563,-0.0562109035813711,0.09521644534917284
L3MBTL1,0.05913935796383113,0.15796672992606692,-0.0494580805305669,0.22276451970036232,-0.11810508628534812
CARD8,0.09501745126387459,0.0351385652941158,0.03563447678741443,-0.005645044781430528,0.05592047109617234
NACC1,-0.03197833907605246,0.0004535304639566842,-0.09127590322118519,-0.01050635247044128,0.05819620509407731
PCGF2,0.2101002795358041,0.21249209616323841,0.09554474749846723,0.03367701147784534,0.11477733027794915
