case_id,test_case,method,status,skip_reason,samples,features,true_clusters,found_clusters,ari,nmi,macro_f1,purity,silhouette_score,calinski_harabasz_index,davies_bouldin_index,cluster_count_abs_error,over_split,under_split,effective_cluster_count,largest_cluster_fraction,labels_length
overlap_mod_4c_small,3,tbs_diffusion_adaptive,ok,,400,80,4,4,0.8520629763241513,0.8456496923506176,0.9430518740180429,0.9425,0.060327432064114436,18.6352275275851,3.5199532826735336,0.0,0.0,0.0,3.9757657057979903,0.29,400
overlap_mod_4c_small,3,tbs_diffusion_adaptive_nnls,ok,,400,80,4,4,0.8520629763241513,0.8456496923506176,0.9430518740180429,0.9425,0.060327432064114436,18.6352275275851,3.5199532826735336,0.0,0.0,0.0,3.9757657057979903,0.29,400
overlap_mod_4c_small,3,tbs_diffusion_graphtools,ok,,400,80,4,4,0.9013124846886037,0.8807296551936105,0.9629543120348023,0.9625,0.06144080867541815,18.854674197139847,3.491618566050064,0.0,0.0,0.0,3.9947534296431706,0.27,400
overlap_mod_4c_small,3,tbs_diffusion_graphtools_nnls,ok,,400,80,4,4,0.9013124846886037,0.8807296551936105,0.9629543120348023,0.9625,0.06144080867541815,18.854674197139847,3.491618566050064,0.0,0.0,0.0,3.9947534296431706,0.27,400
overlap_mod_4c_small,3,tbs_diffusion_graphtools_adaptive_nnls,ok,,400,80,4,4,0.9013124846886037,0.8807296551936105,0.9629543120348023,0.9625,0.06144080867541815,18.854674197139847,3.491618566050064,0.0,0.0,0.0,3.9947534296431706,0.27,400
dim_consolidated_4c_24f,4,tbs_diffusion_adaptive,ok,,160,24,4,4,0.6653289059824976,0.6468461249428579,0.8615410304879033,0.8625,0.07699245748610763,11.39444821695495,2.757340176248789,0.0,0.0,0.0,3.9621610492820047,0.28125,160
dim_consolidated_4c_24f,4,tbs_diffusion_adaptive_nnls,ok,,160,24,4,7,0.5298028928480344,0.6053801842553829,0.8615410304879033,0.8625,0.06891336333227696,8.390685010543773,2.7906549082220815,3.0,1.0,0.0,6.475821715744803,0.21875,160
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools,ok,,160,24,4,5,0.5437281612396819,0.663945427519269,0.8272130489622749,0.81875,0.0781654830334741,10.298135899542327,2.8336945149054205,1.0,1.0,0.0,4.839724205123581,0.2875,160
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools_nnls,ok,,160,24,4,9,0.4035201678286685,0.5758548657517188,0.8454478364173086,0.84375,0.06291057709358236,7.363937430219698,2.7234920993231015,5.0,1.0,0.0,8.26823113800074,0.175,160
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools_adaptive_nnls,ok,,160,24,4,9,0.4035201678286685,0.5758548657517188,0.8454478364173086,0.84375,0.06291057709358236,7.363937430219698,2.7234920993231015,5.0,1.0,0.0,8.26823113800074,0.175,160
cat_highd_3cat_500feat,5,tbs_diffusion_adaptive,ok,,200,1500,4,68,0.09846003742076347,0.5128082479920396,1.0,1.0,-0.012302569588891515,1.8697976656540316,2.0093029941553104,64.0,1.0,0.0,55.722440961528555,0.06,200
cat_highd_3cat_500feat,5,tbs_diffusion_adaptive_nnls,ok,,200,1500,4,68,0.09846003742076347,0.5128082479920396,1.0,1.0,-0.012302569588891515,1.8697976656540316,2.0093029941553104,64.0,1.0,0.0,55.722440961528555,0.06,200
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.09654526534309,2.8477027431230404,0.0,0.0,0.0,4.0,0.25,200
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools_nnls,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.09654526534309,2.8477027431230404,0.0,0.0,0.0,4.0,0.25,200
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools_adaptive_nnls,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.09654526534309,2.8477027431230404,0.0,0.0,0.0,4.0,0.25,200
gauss_overlap_3c_small,6,tbs_diffusion_adaptive,ok,,300,30,3,6,0.6743691150605863,0.78641566840447,1.0,1.0,0.17375433045729333,48.809239764089064,3.1233266450625528,3.0,1.0,0.0,5.4486139867750465,0.3333333333333333,300
gauss_overlap_3c_small,6,tbs_diffusion_adaptive_nnls,ok,,300,30,3,6,0.6743691150605863,0.78641566840447,1.0,1.0,0.17375433045729333,48.809239764089064,3.1233266450625528,3.0,1.0,0.0,5.4486139867750465,0.3333333333333333,300
gauss_overlap_3c_small,6,tbs_diffusion_graphtools,ok,,300,30,3,8,0.4923389076126947,0.7061185318563697,1.0,1.0,0.04992746174341158,36.63153894725099,3.3811784302338768,5.0,1.0,0.0,7.486350264063185,0.21333333333333335,300
gauss_overlap_3c_small,6,tbs_diffusion_graphtools_nnls,ok,,300,30,3,8,0.4923389076126947,0.7061185318563697,1.0,1.0,0.04992746174341158,36.63153894725099,3.3811784302338768,5.0,1.0,0.0,7.486350264063185,0.21333333333333335,300
gauss_overlap_3c_small,6,tbs_diffusion_graphtools_adaptive_nnls,ok,,300,30,3,8,0.4923389076126947,0.7061185318563697,1.0,1.0,0.04992746174341158,36.63153894725099,3.3811784302338768,5.0,1.0,0.0,7.486350264063185,0.21333333333333335,300
gauss_overlap_8c_highd,7,tbs_diffusion_adaptive,ok,,800,300,8,14,0.9343004944078713,0.9522472089968301,1.0,1.0,0.227689002321679,72.02982206035522,3.310873667573599,6.0,1.0,0.0,9.855197864147854,0.125,800
gauss_overlap_8c_highd,7,tbs_diffusion_adaptive_nnls,ok,,800,300,8,14,0.9343004944078713,0.9522472089968301,1.0,1.0,0.227689002321679,72.02982206035522,3.310873667573599,6.0,1.0,0.0,9.855197864147854,0.125,800
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062415,1.2896537164141901,0.0,0.0,0.0,7.999999999999998,0.125,800
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools_nnls,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062415,1.2896537164141901,0.0,0.0,0.0,7.999999999999998,0.125,800
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools_adaptive_nnls,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062415,1.2896537164141901,0.0,0.0,0.0,7.999999999999998,0.125,800
