axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
8,mode_08,top_positive,Vpr-mediated Nuclear Import of PICs,,Vpr-mediated Nuclear Import of PICs,10,0.06666666666666667,0.35335933502142136,0.08261946503323207,0.08261946503323207,positive,32
8,mode_08,top_positive,Transport of the SLBP Dependant Mature mRNA,,Transport of the SLBP Dependant Mature mRNA,11,0.07333333333333333,0.37824164440536223,0.08205213741350577,0.08205213741350577,positive,33
8,mode_08,top_positive,Transport of the SLBP Independent Mature mRNA,,Transport of the SLBP Independent Mature mRNA,11,0.07333333333333333,0.37824164440536223,0.08205213741350577,0.08205213741350577,positive,34
8,mode_08,top_positive,tRNA Processing,,tRNA Processing,9,0.06,0.32744491915447627,0.08158265527840074,0.08158265527840074,positive,35
8,mode_08,top_positive,SUMOylation of SUMOylation Proteins,,SUMOylation of SUMOylation Proteins,11,0.07333333333333333,0.37824164440536223,0.08142969130404656,0.08142969130404656,positive,36
8,mode_08,top_positive,SARS-CoV-2 Activates Modulates Innate and Adaptive Immune Responses,,SARS-CoV-2 Activates Modulates Innate and Adaptive Immune Responses,15,0.1,0.4689955935892812,0.08135336230942768,0.08135336230942768,positive,37
8,mode_08,top_positive,Nuclear Import of Rev Protein,,Nuclear Import of Rev Protein,9,0.06,0.32744491915447627,0.08088537684525555,0.08088537684525555,positive,38
8,mode_08,top_negative,Organelle Biogenesis and Maintenance,,Organelle Biogenesis and Maintenance,25,0.16666666666666666,0.6500224216483541,-0.191344883726426,0.191344883726426,negative,1
8,mode_08,top_negative,Cilium Assembly,,Cilium Assembly,13,0.08666666666666667,0.42524461248637185,-0.1586682879790733,0.1586682879790733,negative,2
8,mode_08,top_negative,Recruitment of NuMA to Mitotic Centrosomes,,Recruitment of NuMA to Mitotic Centrosomes,15,0.1,0.4689955935892812,-0.15539862598986057,0.15539862598986057,negative,3
8,mode_08,top_negative,Regulation of PLK1 Activity at G2 M Transition,,Regulation of PLK1 Activity at G2 M Transition,22,0.14666666666666667,0.6014353864290773,-0.15455209950149687,0.15455209950149687,negative,4
8,mode_08,top_negative,Centrosome Maturation,,Centrosome Maturation,13,0.08666666666666667,0.42524461248637185,-0.15150304095664235,0.15150304095664235,negative,6
