axis,axis_name,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
8,mode_08,"Defective B4GALT7 Causes EDS, Progeroid Type",,"Defective B4GALT7 Causes EDS, Progeroid Type",2,0.013333333333333334,0.10215803640865039,0.0053711049281203,0.0053711049281203,positive,793
8,mode_08,"Synthesis And Processing Of GAG, GAGPOL Polyproteins",,"Synthesis And Processing Of GAG, GAGPOL Polyproteins",3,0.02,0.14144054254182067,-0.0005616842550968916,0.0005616842550968916,negative,1561
8,mode_08,SARS-CoV-1 Modulates Host Translation Machinery,,SARS-CoV-1 Modulates Host Translation Machinery,3,0.02,0.14144054254182067,-0.005645013450216004,0.005645013450216004,negative,773
8,mode_08,Regulation of TP53 Activity Through Methylation,,Regulation of TP53 Activity Through Methylation,23,0.15333333333333332,0.6181194891000384,0.019123510347555873,0.019123510347555873,positive,313
8,mode_08,NOTCH2 Activation and Transmission of Signal to the Nucleus,,NOTCH2 Activation and Transmission of Signal to the Nucleus,1,0.006666666666666667,0.05777796017013378,-0.0006792286020295449,0.0006792286020295449,negative,1515
8,mode_08,Energy Dependent Regulation of mTOR by LKB1-AMPK,,Energy Dependent Regulation of mTOR by LKB1-AMPK,3,0.02,0.14144054254182067,-0.0016181628076517146,0.0016181628076517146,negative,1285
8,mode_08,Pyruvate Metabolism,,Pyruvate Metabolism,4,0.02666666666666667,0.17738945318599736,0.006627442203853136,0.006627442203853136,positive,720
8,mode_08,RAF MAP Kinase Cascade,,RAF MAP Kinase Cascade,25,0.16666666666666666,0.6500224216483541,-0.0026100867896610134,0.0026100867896610134,negative,1151
8,mode_08,Generation of Second Messenger Molecules,,Generation of Second Messenger Molecules,12,0.08,0.4021791902022728,0.0028264124617722068,0.0028264124617722068,positive,1114
8,mode_08,Generic Transcription Pathway,,Generic Transcription Pathway,78,0.52,0.9988455359952018,-0.06160806503853027,0.06160806503853027,negative,72
8,mode_08,Reproduction,,Reproduction,28,0.18666666666666668,0.6944460704939805,0.03224998276499754,0.03224998276499754,positive,160
8,mode_08,Intrinsic Pathway of Fibrin Clot Formation,,Intrinsic Pathway of Fibrin Clot Formation,1,0.006666666666666667,0.05777796017013378,-0.0006792286020295449,0.0006792286020295449,negative,1516
8,mode_08,Association of TriC CCT With Target Proteins During Biosynthesis,,Association of TriC CCT With Target Proteins During Biosynthesis,16,0.10666666666666667,0.48977901368693755,-0.018364345368063334,0.018364345368063334,negative,337
8,mode_08,Nuclear Events (Kinase and Transcription Factor Activation),,Nuclear Events (Kinase and Transcription Factor Activation),15,0.1,0.4689955935892812,0.004408068239873237,0.004408068239873237,positive,908
8,mode_08,GPVI-mediated Activation Cascade,,GPVI-mediated Activation Cascade,20,0.13333333333333333,0.5665095065529053,-0.0025967508225251115,0.0025967508225251115,negative,1152
8,mode_08,p53-Dependent G1 DNA Damage Response,,p53-Dependent G1 DNA Damage Response,12,0.08,0.4021791902022728,0.0019042010602098032,0.0019042010602098032,positive,1239
8,mode_08,RUNX1 Regulates Transcription of Genes Involved in Differentiation of Keratinocytes,,RUNX1 Regulates Transcription of Genes Involved in Differentiation of Keratinocytes,2,0.013333333333333334,0.10215803640865039,6.598127007876329e-05,6.598127007876329e-05,positive,1650
8,mode_08,Vasopressin Regulates Renal Water Homeostasis via Aquaporins,,Vasopressin Regulates Renal Water Homeostasis via Aquaporins,1,0.006666666666666667,0.05777796017013378,-0.0007485749678084153,0.0007485749678084153,negative,1499
8,mode_08,FLT3 Signaling,,FLT3 Signaling,24,0.16,0.6343095546405662,-0.004114621235336965,0.004114621235336965,negative,962
8,mode_08,eNOS Activation,,eNOS Activation,6,0.04,0.24229218908241482,-0.0010415742932291866,0.0010415742932291866,negative,1415
8,mode_08,Glycogen Metabolism,,Glycogen Metabolism,1,0.006666666666666667,0.05777796017013378,-0.0006792286020295449,0.0006792286020295449,negative,1517
8,mode_08,HATs Acetylate Histones,,HATs Acetylate Histones,19,0.12666666666666668,0.5482251174503202,-0.0022570722763533965,0.0022570722763533965,negative,1189
8,mode_08,TRAF6 Mediated Induction of NFkB and MAP Kinases Upon TLR7 8 or 9 Activation,,TRAF6 Mediated Induction of NFkB and MAP Kinases Upon TLR7 8 or 9 Activation,23,0.15333333333333332,0.6181194891000384,0.038863260977176656,0.038863260977176656,positive,124
8,mode_08,Protein Localization,,Protein Localization,7,0.04666666666666667,0.2720647864044614,0.008439522831170243,0.008439522831170243,positive,626
8,mode_08,RNA Polymerase II Transcription Termination,,RNA Polymerase II Transcription Termination,18,0.12,0.5293608652873644,-0.08533721063717237,0.08533721063717237,negative,26
8,mode_08,Ras Activation Upon Ca2+ Influx Through NMDA Receptor,,Ras Activation Upon Ca2+ Influx Through NMDA Receptor,8,0.05333333333333334,0.30039141736478187,-0.007613438207013284,0.007613438207013284,negative,661
8,mode_08,Signaling by CSF1 (M-CSF) in Myeloid Cells,,Signaling by CSF1 (M-CSF) in Myeloid Cells,23,0.15333333333333332,0.6181194891000384,-0.004615084979432806,0.004615084979432806,negative,892
