case_id,case_category,source_family,feature_representation,samples,features,true_clusters,old_found_clusters,new_found_clusters,directional_metrics_improved,directional_metrics_worse,directional_metrics_tied,quality_metrics_improved,quality_metrics_worse,quality_metrics_tied,fragmentation_metrics_improved,fragmentation_metrics_worse,fragmentation_metrics_tied,unsupervised_metrics_improved,unsupervised_metrics_worse,unsupervised_metrics_tied,ari_delta,nmi_delta,macro_f1_delta,net_directional_score,net_quality_score,net_fragmentation_score
cat_dirichlet_overdispersed_20cat,method_proof,categorical_dirichlet_multinomial,categorical_one_hot,240,1200,4,3,4,14,3,4,7,1,0,3,0,4,1,2,0,0.1280365834162096,0.07331575721028,0.1845619074244338,11,6,3
cat_clear_5cat_6c,categorical_clear,categorical_multinomial,categorical_one_hot,150,400,6,4,5,14,0,7,7,0,1,2,0,5,3,0,0,0.25546415393572675,0.11211839284883773,0.1944444444444443,14,7,2
phylo_large_64taxa,phylogenetic_large,phylogenetic_sequence,categorical_one_hot,512,4000,64,80,63,18,1,2,7,0,1,5,1,1,3,0,0,0.3120332961661517,0.05857986692260475,0.2127041347315357,17,7,4
cat_clear_3cat_4c,categorical_clear,categorical_multinomial,categorical_one_hot,100,150,4,4,4,15,0,6,8,0,0,1,0,6,3,0,0,0.052740227741892576,0.05087948675536058,0.02003205128205121,15,8,1
overlap_part_8c_large,overlapping_binary_partial,binary_template,binary,800,350,8,7,8,16,0,5,8,0,0,3,0,4,3,0,0,0.13002441008950372,0.043478260869564966,0.16666666666666674,16,8,3
cat_highd_4cat_1000feat,categorical_high_dimensional,categorical_multinomial,categorical_one_hot,300,4000,6,5,6,16,0,5,8,0,0,3,0,4,3,0,0,0.17893476959904253,0.06891905627080996,0.2222222222222222,16,8,3
binary_multiscale_6c,binary_multiscale,binary_template,binary,180,240,6,5,6,16,0,5,8,0,0,3,0,4,3,0,0,0.18062563067608473,0.06891905627080996,0.22222222222222232,16,8,3
overlap_unbal_6c_med,overlapping_binary_unbalanced,binary_template,binary,600,300,6,5,6,16,0,5,8,0,0,3,0,4,3,0,0,0.19802638203356215,0.07426315099816339,0.21881390593047045,16,8,3
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,16,0,5,8,0,0,3,0,4,3,0,0,0.22448979591836737,0.09425390072448081,0.2666666666666667,16,8,3
binary_low_noise_4c,improved_binary_low_noise,binary_template,binary,80,100,4,3,5,13,4,4,8,0,0,1,2,4,2,1,0,0.23659937254227825,0.09968460373421195,0.33333333333333337,9,8,-1
phylo_large_32taxa,phylogenetic_large,phylogenetic_sequence,categorical_one_hot,320,2000,32,34,45,15,3,3,8,0,0,1,3,3,3,0,0,0.2853904871394989,0.0699239325429788,0.363163685120922,12,8,-2
overlap_hd_4c_1k,overlapping_binary_highd,binary_template,binary,500,1000,4,3,4,16,0,5,8,0,0,3,0,4,3,0,0,0.28694652098907414,0.14285714285714313,0.33333333333333337,16,8,3
cat_highcard_10cat_4c,categorical_high_cardinality,categorical_multinomial,categorical_one_hot,200,500,4,3,4,17,0,4,8,0,0,3,0,4,3,0,0,0.29172474158772765,0.14704623554207208,0.3319618385679628,17,8,3
cat_clear_4cat_4c,categorical_clear,categorical_multinomial,categorical_one_hot,100,200,4,3,4,15,1,5,8,0,0,3,0,4,2,1,0,0.2920353982300885,0.1428571428571428,0.33333333333333337,14,8,3
binary_many_features,improved_binary_edge_cases,binary_template,binary,100,2000,4,3,4,16,0,5,8,0,0,3,0,4,3,0,0,0.2920353982300885,0.1428571428571428,0.33333333333333337,16,8,3
overlap_mod_6c_med,overlapping_binary_moderate,binary_template,binary,600,250,6,4,6,16,1,4,8,0,0,3,0,4,3,0,0,0.31358994593003475,0.14282710499614115,0.44277773611006954,15,8,3
gauss_overlap_3c_small_q4,overlapping_gaussian_quantile,gaussian_blobs,quantile_one_hot,300,120,3,2,3,14,2,5,8,0,0,3,0,4,1,2,0,0.43021582733812946,0.26631956334878815,0.44444444444444453,12,8,3
gauss_overlap_3c_small_q5,overlapping_gaussian_quantile,gaussian_blobs,quantile_one_hot,300,150,3,2,3,14,2,5,8,0,0,3,0,4,1,2,0,0.43021582733812946,0.26631956334878815,0.44444444444444453,12,8,3
binary_noise_feat_30i_500n,binary_noise_features,binary_template,binary,100,1030,3,2,3,16,0,5,8,0,0,3,0,4,3,0,0,0.43716783816218074,0.2679842589371265,0.44224422442244216,16,8,3
overlap_unbal_8c_large,overlapping_binary_unbalanced,binary_template,binary,800,500,8,4,8,16,1,4,8,0,0,3,0,4,2,1,0,0.4516361037850043,0.22025985468193687,0.6369326230470174,15,8,3
cat_mod_3cat_4c,categorical_moderate,categorical_multinomial,categorical_one_hot,120,180,4,2,4,14,3,4,8,0,0,3,0,4,1,2,0,0.6074588069454849,0.3632589115696998,0.599937343358396,11,8,3
sbm_clear_small,sbm_graphs,stochastic_block_model,graph_adjacency,60,60,2,1,2,12,2,4,8,0,0,2,1,4,0,0,0,0.8688989349475136,0.8214296888424338,0.6332962550982575,10,8,1
cat_unbal_3cat_4c,categorical_unbalanced,categorical_multinomial,categorical_one_hot,150,180,4,1,4,12,2,4,8,0,0,2,1,4,0,0,0,0.9809920929302728,0.977386122341276,0.8864191803529511,10,8,1
cat_mod_4cat_6c,categorical_moderate,categorical_multinomial,categorical_one_hot,180,400,6,1,6,12,2,4,8,0,0,2,1,4,0,0,0,0.9865142168323924,0.986353452213672,0.946823853186732,10,8,1
binary_unbalanced_low,improved_binary_unbalanced,binary_template,binary,100,150,4,1,4,12,1,5,8,0,0,2,1,4,0,0,0,1.0,1.0,0.8846153846153847,11,8,1
binary_unbalanced_med,improved_binary_unbalanced,binary_template,binary,150,200,6,1,6,12,1,5,8,0,0,2,1,4,0,0,0,1.0,1.0,0.9429097605893186,11,8,1
binary_noise_feat_80i_400n,binary_noise_features,binary_template,binary,160,880,6,1,6,12,1,5,8,0,0,2,1,4,0,0,0,1.0,1.0,0.9518716577540107,11,8,1
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.8333333333333334,12,8,2
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.8333333333333334,12,8,2
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9333333333333333,12,8,2
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.8333333333333334,12,8,2
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9722222222222223,12,8,2
binary_balanced_low_noise,binary_balanced_low_noise,binary_template,binary,72,72,4,1,4,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9,12,8,2
binary_balanced_low_noise__2,binary_balanced_low_noise,binary_template,binary,72,120,4,1,4,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9,12,8,2
sparse_features_72x72,binary_sparse_features,binary_template,binary,72,72,4,1,4,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9,12,8,2
sparse_features_100x500,binary_sparse_features,binary_template,binary,100,500,4,1,4,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9,12,8,2
binary_low_noise_8c,improved_binary_low_noise,binary_template,binary,160,200,8,1,8,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9722222222222223,12,8,2
binary_low_noise_12c,improved_binary_low_noise,binary_template,binary,240,300,12,1,12,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9871794871794872,12,8,2
binary_moderate_4c,improved_binary_moderate,binary_template,binary,80,100,4,1,4,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9,12,8,2
binary_moderate_6c,improved_binary_moderate,binary_template,binary,120,150,6,1,6,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9523809523809524,12,8,2
binary_moderate_8c,improved_binary_moderate,binary_template,binary,200,250,8,1,8,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9722222222222223,12,8,2
binary_hard_4c,improved_binary_hard,binary_template,binary,100,200,4,1,4,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9,12,8,2
binary_hard_8c,improved_binary_hard,binary_template,binary,280,400,8,1,8,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9722222222222223,12,8,2
binary_many_clusters,improved_binary_edge_cases,binary_template,binary,300,400,15,1,15,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9916666666666667,12,8,2
binary_noise_feat_50i_200n,binary_noise_features,binary_template,binary,120,450,4,1,4,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9,12,8,2
phylo_protein_8taxa,phylogenetic_protein,phylogenetic_sequence,categorical_one_hot,160,2000,8,1,8,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9722222222222223,12,8,2
phylo_divergent_4taxa,phylogenetic_divergent,phylogenetic_sequence,categorical_one_hot,100,400,4,1,4,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9,12,8,2
overlap_mod_8c_large,overlapping_binary_moderate,binary_template,binary,800,400,8,1,8,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9722222222222223,12,8,2
traversal_deep_branch_recovery_stress,method_proof,planted_hierarchy_binary,binary,240,480,6,1,6,12,0,6,8,0,0,2,0,5,0,0,0,1.0,1.0,0.9523809523809524,12,8,2
