case_id,case_category,source_family,feature_representation,samples,features,true_clusters,old_found_clusters,new_found_clusters,metric,old_value,new_value,delta,direction,metric_orientation
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,over_split,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,under_split,0.0,0.0,0.0,tie,lower_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,ari,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,nmi,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,ami,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,purity,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,homogeneity,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,completeness,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,v_measure,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,fowlkes_mallows,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,macro_recall,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,macro_f1,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,worst_cluster_recall,1.0,1.0,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,n_singleton_clusters,0.0,0.0,0.0,tie,lower_better
