gene,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21
ASXL1,0.0377045452947918,0.09142046834015415,0.09352571899697824,0.21394026075676728,0.028449779957592375,-0.15953371921635712,-0.060131482358197874,0.010802774479769921,0.05436114866387491,0.06747359519108273,0.15506740276080583,0.06589399524278486
U2AF1,-0.24203367170154594,0.18678734084791324,-0.045826748343236176,0.029535100490284526,-0.2050305099866611,-0.029389719846807036,-0.04835306200459241,-0.11008700184160401,-0.05235423558742835,-0.04719587515793986,-0.05910920652918215,0.01831656652941709
GATA2,-0.22570619197748862,-0.25787655336031134,-0.4786365731849571,-0.05074505709543782,-0.05579627543518038,-0.20394695896926307,-0.045412395307232144,0.10243337828218606,0.09839822392317873,-0.15308819490895004,0.20989979487436003,0.1686110090031483
CEBPA,0.08978451385887602,0.04772151095960503,-0.06740077358643522,-0.028270519718314138,0.050261660348031104,0.25245116711356624,-0.06281090619630818,-0.07270401275746446,-0.027887191924755046,-0.039212407578096145,0.029785338538916385,-0.023773701939174094
NUP214,0.12025641974644821,-0.08550973604852899,-0.15376855643786544,-0.011896750955485263,-0.08927592999113154,0.06602680367644491,0.04939114221469069,-0.0049885915528212876,0.08022824496206746,0.02357861521422342,0.01848275668525797,0.021344229258241816
KIT,-0.016733147107368243,0.1529298845496084,-0.06796783052696961,-0.11863330584740375,0.0209689195103808,-0.059220044504154586,0.010320283484137781,0.07269385605251029,-0.011152413627854428,0.032878942050797395,0.0032698875333292358,0.012461944550063664
PTPN11,-0.013806906264298365,0.17531957446195726,-0.06592220261243052,-0.10831003065490066,0.03814121424667329,-0.02708520953266923,0.03480612636557331,0.06745641265966229,-0.02416149730767271,0.05740631928516559,0.028332186962417343,0.01008530411809305
STAG2,-0.04615270604048725,-0.11194521467223273,-0.033672589812120596,-0.08446348840636454,-0.03360505605626207,0.011386892455125825,-0.07382643747012238,-0.03206526445542837,-0.04619951153048995,0.0099978216991359,0.011968315473014466,0.0013910162003194437
MECOM,0.04103152984013417,0.004243367139267857,0.014923658104004043,0.06996704532838201,-0.06361716223658062,0.0014874814169168141,-0.09341092054458303,0.016112574267241053,0.032272324056218486,0.006751567322210611,-0.008390688172226499,0.07124340558841798
NPM1,0.2512293611771865,-0.0902030121178012,-0.04236691817427714,-0.16106418459504054,0.3756872057656469,-0.32284718933885154,0.06746261227873179,-0.22078354602833658,0.1615778393632392,-0.052827092231846555,0.04640154151390548,0.036286882174651564
WAPL,0.00465473962666269,-0.013290239429817977,0.027949320073635004,-0.0630273195352616,0.015267734963604751,-0.03958325106862071,0.039746237074864424,0.011527436100767714,0.04232340452337151,-0.002479779136239597,-0.03772163964560135,0.01046396215256486
SMC1B,0.09348282137652732,-0.020058685627546494,0.03960424749727483,-0.034843323242580784,-0.11401181371468244,0.000445660046270331,0.07715204178445804,0.04405211378137477,0.04671641154860124,0.0925380578170761,0.06985903604530154,0.012833070325667804
CDCA5,-0.07070653638177764,-0.009876379218446684,-0.02986616581338046,-0.14494845960139738,-0.11256294776443182,0.08342367831787682,-0.18024051297176305,-0.13599410756732735,0.06930592419658817,0.11602184271896387,0.0066807856913549514,-0.02813405031792937
SGO1,-0.2638849410432154,0.03522939927922389,-0.061561781024461706,-0.07119109891780163,-0.03698521932850511,0.046227363291882664,-0.2914954178270031,-0.3567692835226507,0.02770271616363174,0.11558836125932533,0.05569735798271457,-0.07222536675368658
REC8,0.06167617032813475,-0.12785046777211115,-0.04871894099564767,0.21173416444874962,0.16692665074363902,-0.03692561352772511,0.06404268168650934,-0.022122012505287617,-0.0599457288464859,0.003250908994694545,-0.006645179855180419,-0.1942275950467531
MXD4,-0.37850127905047,0.013414486895665644,0.21407881727837894,0.07536227277457028,0.24708322744226383,-0.11995902111306547,-0.04489953547781506,-0.023176124878112325,-0.08172022856605232,-0.053076046158261184,-0.010066181744262588,0.07866955486393488
STAG3,0.13450376677623224,0.05910091041838596,0.05525963151282159,0.01826781462014973,-0.06965647635515643,-0.049431526657346216,0.03537858133861121,0.13950893941849682,0.09431204218281411,-0.053632481973390794,0.0625629702957317,-0.015606810624605248
NIPBL,0.058650719084630154,0.06387917497411881,-0.042595911607926557,0.058488815017413084,-0.10320535587627332,0.017242514263246734,0.033959461284674135,0.10546272256793668,0.04251768714874164,-0.022223583224073678,-0.02687867852018768,0.02331751851023169
SPI1,0.003039687211342085,0.1601193226431819,-0.01633769167874557,-0.011038328217758443,0.010316842932894565,-0.06262810070571355,-0.07970365967286427,-0.0110133126941648,-0.03831750390242821,-0.14932631527956142,-0.09371299391169005,-0.045331313991102205
GPR31,0.1053475682172426,-0.3085134981978842,0.06856427792022277,0.12335617336050429,-0.02193512609351257,0.007974029120723924,-0.040902788947344296,-0.09986305676151348,-0.029506321806183823,-0.05296174343362266,-0.022344160170752362,0.024939109510904528
STAG1,-0.4001791798428811,-0.11172655849220965,0.12480842803599973,0.05365664412739913,0.25879629655517206,-0.15677011161949037,-0.10212870114357009,0.04437294327535013,-0.26319202977565387,-0.14998118305493544,-0.009764883445462759,0.04512824243561708
NXF2,0.10459548975664786,-0.07344650325344844,-0.12108958367144676,-0.020082774001759975,-0.09652486151941787,0.06545090180611614,0.04009770805923675,-0.005812636435905802,0.06583084046177107,-0.003900322352210305,0.03115510075501729,0.022840113478898055
CARNMT1,-0.09702870371303271,0.015627392000356153,0.04868897512766519,0.08452077232784641,-0.198045327630288,0.07437443377088511,-0.04916947771001577,0.16850519535512476,-0.0781439925765067,0.022022836554224545,0.07525050065826114,-0.09989159039152752
ELF4,0.127634494942137,-0.11077763798135394,-0.09245140093689416,0.19255612454208804,0.0710541042800766,0.003340066595246412,-0.04081014590591467,-0.0004542880661054046,0.018445168454593663,0.07725942596424129,0.090509898387304,-0.06339412608083701
KRTAP10-3,-0.11226058259304258,-0.1274092453223199,-0.23666777593252672,-0.006681496549535561,-0.01029252289818493,-0.07348534941561886,-0.06695511847037078,0.2109061306139111,0.07740589112336993,-0.11707424777884248,0.03624664545024411,0.34290403807109626
AIRE,-0.0539081207130892,-0.07623062936960885,-0.003925502790951011,0.02046751256765304,0.09365496361018887,0.030782704913899728,0.037810769154334324,0.05030926145083718,0.029197454186261632,-0.05605177600659923,-0.04788883587156364,-0.08176242742932234
ZNF513,-0.05721403527358607,0.219781742876641,-0.023202133167757575,0.22136472199281373,0.07895923793401971,-0.1593965440726584,0.09766796728708567,0.029149178914251627,-0.005348178891933879,-0.052030166866523855,-0.03419896803853648,-0.11629652255354381
SLA,-0.07769584331908651,0.14094882519520732,-0.015248011247664619,-0.09669426086349805,0.06826740177561974,-0.040127460763963736,0.1348398194229044,0.040051654305883054,-0.010113916046495268,0.13048441284260112,0.06121149857110365,-0.083300364671486
ZRSR1,0.294590758617263,-0.14081496292780254,0.05484513966540275,-0.1554629252178187,0.32136532972685694,-0.24492661381527417,-0.04196996459679263,-0.11393330256176801,0.09953882292380871,0.014976266544187662,-0.03254288216757933,0.05304786749353112
SRRM1,0.11084324404389478,-0.0644040034911051,0.07122694172434328,-0.14337402342631045,0.2825559653373623,-0.19560369637570693,-0.058362275160166316,-0.19360396437023955,-0.0020773992388248177,-0.030303558176619373,0.03207484786666188,0.028207537210491483
ANKRD11,-0.2896217451951705,-0.0037799150769057084,0.24520459377826853,0.016108392256376204,-0.00045645396653288476,-0.10159290205237578,0.23764914937513537,-0.03677194210850643,-0.06523151178889354,0.07941753242866902,-0.12219627428915099,0.07878469837761455
CIRSR,-0.16111336938053736,0.028200721093293666,0.03269425346310252,0.07227952787123565,-0.23949604191655824,0.1391622114126534,-0.059084079412491684,0.190863656788635,-0.04556218090846154,0.008573146640751641,-0.01883675984688388,-0.046855531865806176
ZNF207,0.1778425028299037,-0.0032703082433443585,-0.10805911393842799,-0.026604178409736293,-0.0388170371253988,0.15866416936243247,0.03990642562413264,-0.058907690906783175,-0.1461070714765816,0.11032616761734053,-0.015268818606527674,0.035336133784518074
U2AF1L4,-0.22244419373585342,0.08504602634413956,-0.055425659559142734,0.19734623505773263,-0.15404966965442238,0.030606701916934126,0.01563268430697666,-0.006298248705737617,-0.03622306632055923,0.010606312204714433,0.08889457360440932,-0.11463291304537498
USP37,0.134981913746207,-0.00447906527641057,-0.14397284998936566,0.054071373113594605,0.002602137020879978,-0.01290219497989292,0.08157516847764378,-0.1168733880476141,-0.011449636469481444,0.07886130098840334,-0.0853419826185174,0.03673252142487595
FMO3,-0.04614676933617293,-0.2278684254685179,0.16248717605804305,0.29131603138380247,-0.09401466100862056,0.1489105934857061,0.021437743091661167,-0.16629128726795603,0.15289399756314237,-0.17612387764379142,-0.02838960160386601,0.04777419851611506
ADAR,-0.05271826920628271,-0.01683118568124395,0.08701356315573541,-0.1026716815866592,-0.003911241715404893,-0.017637533180895844,-0.03332722380890758,0.07497864120330405,0.00422306865537387,-0.10596978595776238,0.034634383774994476,-0.055596702911417356
SH2B3,-0.00845866523542535,0.17723952338011664,-0.042994653529585404,-0.127653522240642,0.012558950957400679,-0.06666916699867594,0.007802673375188489,0.08980275860032419,-0.010281926013513283,0.03458401564501364,0.05377951076148741,-0.024000061077420115
SSU72,-0.4175618829030562,-0.04034504505786462,0.11427602627713446,0.055453680106750766,0.10645862323420734,-0.0966617298706653,-0.04007717552002211,-0.04640608361572252,-0.08118509732434186,-0.0037060171089201024,-0.015839357187801818,-0.05462806663174752
SOCS1,0.004881378763971413,0.24530537803684607,-0.07935232394883042,-0.1389857173991186,0.016431565256242266,-0.08068091976385143,-0.007390386370186657,0.08544892949155275,-0.06088988709501059,-0.01140535095015545,-0.07647062402383334,0.014398506285713975
PAF1,-0.05028031007117763,0.22411959772620227,-0.05370596517895516,-0.011044966291689263,0.2623763099907001,0.2915136480176279,0.03168353750110036,-0.04250970923199589,-0.051169840347289386,-0.17896772908333705,0.08494540675192268,0.13398519345957727
USP13,-0.008076579355104202,-0.05170369322607557,0.05906625410772565,0.07361582419825483,0.1448519730288633,-0.008490784084487163,0.012841938374140677,0.06327581713917212,-0.10717706555337443,-0.09212783722131779,-0.07664157540446662,-0.050331344917490015
TEC,-0.01491069957346623,0.222719049213372,-0.10114888444901032,-0.15836125197972004,0.040525980916315554,-0.08009693298272033,-0.005494559627679579,0.07474820226158121,-0.04586692969558981,0.011374613826018518,-0.010383031569007316,-0.019998817210410403
