gene,mode_22,mode_23,mode_24,mode_25,mode_26,mode_27,mode_28,mode_29,mode_30,mode_31,mode_32,mode_33,mode_34,mode_35,mode_36,mode_37,mode_38,mode_39,mode_40,mode_41,mode_42,mode_43,mode_44,mode_45,mode_46,mode_47,mode_48,mode_49,mode_50,mode_51
PTPN11,-0.006046713638948238,-0.01983494827976503,-0.031960037140654415,0.0033824203895342054,0.03155940654564313,-0.031220402773844292,0.009471860026797754,-0.02836440021178857,-0.05460581268000364,0.031088978656255577,-0.035583250739217295,-0.03745132557249756,0.018983107766188955,-0.029105515069380392,-0.029057170730437766,0.023531156136092305,0.012267688672679614,0.01609477397619059,0.014892187063325754,-0.003587439262242367,0.009136803097995062,0.022505908399316005,-0.005252616203630342,0.032888897043859465,-0.02908783825159342,0.0001600101476144244,0.020134622549811368,0.0009738356377737201,-0.021066967212252524,-0.007750873924209937
STAG2,-0.00038611327912643724,0.04804341211952374,-0.0016560126814116642,0.02819440168967799,0.04192089636667992,0.0562216975723602,-0.028511593558037007,-0.005046101566375817,-0.029806317070724342,0.0334949097128392,-0.00437430954288566,0.07365533813514302,-0.0898875136570609,-0.12110571159338189,0.09409289553814365,-0.1087381349886276,0.08154818562995628,-0.015317667795786012,0.06009514553782316,-0.04381305519981068,-0.013782985728745778,0.07741842938833678,-0.01426390846897284,0.06808973157370962,0.007302421117435186,0.010218610554121352,0.011725519219821416,-0.0111936310150422,0.010316160844845677,-0.07389202699868401
MECOM,-0.03855597480348086,0.06970974823625754,0.015671031045102014,-0.0037167539503657416,-0.03060299726889882,-0.04253887496858134,-0.02932475950002489,-0.00630398748379401,-0.025630210865808006,-0.10449935798044582,0.03093853363604496,-0.063698515155172,0.05233025750608185,-0.0076726167334044085,-0.021571256726879234,0.05657814862216455,0.017743258459051395,-0.058378969762844075,-0.002805519022734916,-0.09558619692863961,-0.006933633461124553,0.040539571261713696,0.04579641851731955,0.018790428369416617,-0.0003871977903798196,-0.0508165055131204,0.006554436190184088,-0.017174678893862438,-0.04571159490071195,-0.002886142793593802
NPM1,-0.043839480131963336,-0.01571194497461823,0.14216650542505138,0.05122627011710886,-0.19129882038355658,0.03549329419178501,-0.1466485006682976,-0.06629165304781406,-0.08431053539131321,0.04191733647964157,-0.07465732429749947,0.03703991168749489,-0.07660698204066303,-0.12778871269812295,-0.10301266372845798,0.010895309113334058,0.05158854325843104,0.09499668057023278,0.12643466736791334,-0.023614053719171954,-0.049356119979881624,-0.10592751640032991,-0.08657592147498218,0.04293474687035375,-0.0024694747563076555,0.009908352415730409,-0.05858127680885657,-0.05709191404351851,0.02588194707403438,-0.019238267772209557
WAPL,-0.060516412065418294,-0.009178425310700542,-0.038367934501612196,-0.00745567714379589,-0.039776207484847365,0.023207485685352542,0.034055952052085295,-0.032175525545174194,-0.06240966815994429,0.07151656127730639,-0.0838322045452367,0.010518790619717892,0.10304208894873655,0.08294773432989272,0.03855500519131325,0.0009187793829365919,0.002582331550152027,-0.09512015829851173,-0.04476845571699454,0.011221113422874497,0.05887626749160494,-0.05013546079389003,0.07463726239495223,-0.03459033291081932,0.04101104141198329,-0.027760290349175213,0.0372374422924116,-0.011219279136455016,0.03642099032685194,-0.031395976513443384
SMC1B,0.012444189182841684,0.011968850361893539,0.02308795481620992,0.030797766992686038,0.019163119068019534,-0.024347548775940524,0.051753549488993966,0.052794177240651566,-0.05988286983915379,0.017165888725079494,0.0925437632061952,0.03928853196863293,0.0048955460425273,-0.006536051032773067,-0.02441451303530536,0.04698245459285016,0.018433219556772597,0.03636362078471473,-0.010422220800371,0.04269094467035715,0.1270361378679157,0.0923797565782316,0.0093313892199177,0.04839308307247751,0.0215742309664856,0.029279495646714906,0.027965570627681912,-0.06674546128227465,0.0064287442157759936,0.04569127477283304
CDCA5,-0.0018344905750695727,0.024911576940771254,-0.0017753519251095785,0.09032983335910033,0.09133727376450995,0.0893166835819072,-0.058690762271917614,-0.040346642540354825,-0.015622058968812151,-0.042223183291776704,0.009194598512026206,-0.06541800673221311,-0.13342665048144825,-0.0535767530437284,0.06544487527221146,-0.008472181146657947,0.041302878755525844,0.003283380325224106,0.04890119743039625,0.020999606207040167,0.0031917985290156902,0.08103280886930382,-0.02696438970324488,0.0545121308634781,0.0016507835464898788,0.02535435178409623,-0.005366095672374076,0.0174740535449026,0.018815586684059964,-0.05484790345826981
SGO1,0.003709630598855082,-0.06345092930654594,0.00534641623513964,0.08306348445502808,0.13345361088225485,0.1732161268662624,0.01004080459640824,-0.08329252807358425,-0.005451177096694576,-0.16547448569922418,0.019914013807337146,-0.0453773983777889,-0.17624907193442593,-0.0697559367506598,-0.07043146868092252,-0.04355234746669022,0.024163718823452817,0.0643448761894816,0.0768347956846742,-0.03499114190860675,0.01567734893849824,0.03172165067915006,-0.05317663907503637,-0.03909452005686986,-0.024781365450043016,0.012714051040860645,-0.06819351692379697,0.021062440879516156,0.0679884895371314,-0.0021467289097331656
REC8,0.004017644903095092,-0.07682058437426696,-0.1127725917164356,0.047616598469000265,0.09565123744081559,0.08675568634621683,0.05402215712290575,0.08882857648562276,-0.03723835451648781,-0.03559016681589381,-0.12308488430103855,0.10539301840996913,0.09076979135754057,-0.026107571689277277,-0.22823433599258472,-0.02754403844921444,-0.028093707087117968,-0.03839829829595302,0.025748258424503224,-0.0004495656496296508,-0.0772399214850347,0.0062699579096596155,0.00933217201394261,0.006864628910484944,-0.06828630100092573,-0.019402805967789725,-0.024004062743407568,0.05208512658743875,-0.10561410006136561,0.0799457822029906
MXD4,0.08605239351140326,-0.012517132589150746,0.026941983437620748,-0.09330970299656109,0.01733637310713696,-0.0009266705884436293,0.02730524512844661,0.001617920316200071,0.06317608719495466,-0.2315878254060368,0.06909782493667066,0.006474543797449059,0.007920417140908128,0.10458821328934859,-0.07605563266765183,-0.007811770663483049,-0.009051596906121022,0.07217833610388795,-0.045449971217567574,0.030700261156634035,-0.02167211142597439,0.04871167922475482,-0.15572509731981515,-0.029383159677222437,0.11778714466760809,0.03424768271379868,0.06487007388792028,0.10308788933786618,-0.1281933416681385,0.02395169116830188
