gene,mode_63,mode_64,mode_65,mode_66,mode_67,mode_68,mode_69,mode_70,mode_71,mode_72,mode_73,mode_74,mode_75,mode_76,mode_77,mode_78,mode_79,mode_80
ASXL1,0.027209578159471743,0.048087052672634086,0.12744265636230218,0.14228235510249432,-0.14576117393693525,-0.04672117253588094,-0.11536815552283565,0.10013746586510668,-0.07797917063730361,-0.10536568248222855,0.019847501694439947,-0.08091923912931347,-0.06874418504195466,0.05799572217429832,-0.005245275366187047,-0.03282123693283375,-0.13355519953134615,0.03681655334211407
U2AF1,-0.022193007447420903,0.07371425639588242,0.020543992640806388,0.011589728102371853,-0.13941100558059183,-0.05040576798143691,-0.04465808669697199,0.0731904764458228,-0.019596530116635768,-0.04655046632566161,-0.03451039510333854,-0.053201917921610914,0.04944113151266632,-0.08383357416910196,0.007436364873440655,0.06805337964419847,0.01951550409077055,0.012249690286724096
GATA2,-0.05672990683334521,0.06768254871448805,-0.04479429175650232,-0.08653784107683603,0.04815317993146719,0.04487581901347636,-0.1650992181704261,0.01989890772013158,-0.12603070561555818,0.043766598240939925,-0.029803556185507497,0.0918754060264769,-0.1103191018001769,-0.029389823879983266,0.0552468973822115,0.017066525806286422,0.015566908753277826,-0.06656850205998051
CEBPA,-0.02263056934281884,0.027012810633625678,-0.0260342418339713,0.0027278083756025525,0.002205092153428329,-0.024492741511357517,0.02065384484140008,0.03813072414141195,0.03955369556974268,0.08350980724748602,-0.05131117412683366,-0.03426467124689481,-0.0011897531639553827,-0.02247553119664043,-0.10671641859772103,-0.054409676980377686,-0.08661703574917434,-0.03980429889048062
NUP214,-0.013157455035567492,0.034885260856761635,-0.07567219939918916,0.05927198909148301,0.08961585046563299,-0.021693755871464136,0.08808559061204532,0.08658035645140473,-0.014151271115171145,0.03562103025303816,-0.017822026393743258,-0.0336169354334852,-0.04794684482661361,-0.0204318703606259,0.034614725871441966,-0.013341904089038984,-0.05470157155592572,-0.002955100251890493
KIT,-0.013996039995071735,-0.04375237901704951,0.03524730362532762,-0.014258746285742436,0.0010979125372359442,-0.0046058908147572795,-0.018832304265350572,0.049549889988365604,0.01515228169910193,0.021347163173873706,-0.04447252535226921,0.03156179248336606,-0.01578971314131534,0.004981658951817484,0.0435852967216951,0.007904858859470917,0.012601464773428744,0.012698772336777155
PTPN11,0.02140328386989933,-0.010713172900063394,0.031132274963333064,-0.042154778032364816,0.013124339906431639,-0.03477824400694086,-0.033321183543134826,0.010871957624980524,-0.011028216655131868,-0.009619238168209953,0.05584455542740885,-0.05379104648912265,0.0017176711256615914,0.04987409735812187,0.04010038364172776,0.05145580092396431,0.00587660954932538,0.003975584274911299
STAG2,-0.07011882008836681,0.01576094898664958,0.020028205421597136,0.030462767165514014,0.07734100406185308,0.025742866558526752,-0.07604632984558883,-0.04121404024826274,-0.038838773164903875,-0.012460126808977328,0.06825852915120281,-0.04043606780400503,-0.009290491231143215,-0.015418880823428533,-0.0762950454228325,-0.05040776144513792,-0.03993300819401015,0.08130327015582835
MECOM,-0.07984028882854671,-0.04819984970787867,-0.08694027370596842,-0.15070081075281108,-0.03131059012031898,-0.019895850609033875,-0.009577286879126729,-0.06454128402944084,-0.08138032770714328,-0.07955040824665205,-0.0015357187908844499,-0.032091716152500734,0.007783566509385263,-0.10360286685507107,0.08135181622870813,0.019423946855933096,-0.029911730591999697,0.017457322078265287
NPM1,-0.06259784802503102,-0.04896672557883135,0.01892263610064131,0.01967364325814366,0.002400304563995441,0.02597834466636535,-0.03933670739448881,0.002933819023119716,0.08983784444930264,0.08900424510572486,0.018136843447695505,-0.02792481470185096,0.006588921106942457,0.024955846573105574,0.0204791723244647,0.046245306633629635,0.01931389742939327,-0.0031748013533567407
