diagnosis_schema_version,case_id,test_case,case_category,rooted_subtree_id,subtree_leaf_count,complement_leaf_count,smaller_side_leaf_count,smaller_side_fraction,support_count,method_count,support_fraction,is_unstable,supporting_methods,absent_methods,contrast_type,median_supporting_branch_length,min_supporting_branch_length,max_supporting_branch_length,subtree_leaf_preview,complement_leaf_preview
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,649270c96eab3e21,690,110,110,0.1375,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,3.08418188622e-05,3.08418188622e-05,3.08418188622e-05,"L1,L10,L100,L101,L103,L104,L105,L107,L108,L109,L11,L110,...(+678)","L102,L106,L113,L115,L12,L120,L124,L128,L146,L149,L15,L159,...(+98)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,4228cb76aa8d7dc9,110,690,110,0.1375,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,1.77997501941e-06,1.77997501941e-06,1.77997501941e-06,"L11,L116,L123,L130,L135,L145,L147,L153,L158,L16,L160,L166,...(+98)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+678)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,5037621eae0663f9,691,109,109,0.13625,1,7,0.14285714285714285,True,average,"centroid,complete,median,neighbor_joining,single,weighted",single_method_specific_subtree,2.49546715148e-16,2.49546715148e-16,2.49546715148e-16,"L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+679)","L120,L126,L138,L151,L157,L159,L167,L185,L192,L211,L212,L215,...(+97)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,288ca36b01aa05a9,691,109,109,0.13625,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,4.71940335559e-08,4.71940335559e-08,4.71940335559e-08,"L1,L10,L100,L102,L103,L104,L105,L107,L109,L11,L110,L111,...(+679)","L101,L106,L108,L119,L120,L126,L127,L133,L136,L138,L140,L157,...(+97)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,2a7ab868c4c0b3cf,109,691,109,0.13625,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,3.89712482662e-08,3.89712482662e-08,3.89712482662e-08,"L114,L116,L123,L130,L135,L145,L160,L166,L173,L181,L184,L188,...(+97)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+679)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,e90405576e2a2924,691,109,109,0.13625,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.93476287105e-05,2.93476287105e-05,2.93476287105e-05,"L1,L10,L100,L101,L103,L104,L105,L107,L108,L109,L11,L110,...(+679)","L102,L106,L113,L115,L12,L120,L124,L128,L146,L149,L15,L159,...(+97)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,49d1086aa87c5419,109,691,109,0.13625,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,1.53111862014e-06,1.53111862014e-06,1.53111862014e-06,"L11,L116,L123,L130,L135,L145,L147,L153,L158,L16,L160,L166,...(+97)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+679)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,edbe377353c58122,108,692,108,0.135,1,7,0.14285714285714285,True,complete,"average,centroid,median,neighbor_joining,single,weighted",single_method_specific_subtree,3.6909839181e-07,3.6909839181e-07,3.6909839181e-07,"L115,L121,L125,L13,L134,L140,L150,L169,L172,L181,L182,L188,...(+96)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+680)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,e9ef1ae0ed9fadb9,108,692,108,0.135,1,7,0.14285714285714285,True,neighbor_joining,"average,centroid,complete,median,single,weighted",neighbor_joining_specific_subtree,0.000338944195198,0.000338944195198,0.000338944195198,"L103,L105,L107,L122,L135,L14,L141,L144,L151,L163,L171,L181,...(+96)","L1,L10,L100,L101,L102,L104,L106,L108,L109,L11,L110,L111,...(+680)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,0f46be4fe228c46a,693,107,107,0.13375,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.55905831428e-05,2.55905831428e-05,2.55905831428e-05,"L1,L10,L100,L101,L103,L104,L105,L107,L108,L109,L11,L110,...(+681)","L102,L106,L113,L115,L12,L120,L124,L128,L146,L149,L15,L159,...(+95)"
