weighting,component,eigenvalue,fraction_of_kept_operator_energy
binary,46,0.6740989927201247,0.004939393852262576
binary,47,0.6651005555285472,0.004873458691664431
binary,48,0.6525738464002112,0.004781670466602844
binary,49,0.6293670834094256,0.00461162520072126
binary,50,0.6239592611897363,0.0045719999170247575
binary,51,0.6044906790111932,0.004429345802178913
binary,52,0.5966069496273181,0.004371578553047623
binary,53,0.5822022291635176,0.004266029385238679
binary,54,0.5721006004270845,0.004192010697453319
binary,55,0.5642712493053789,0.004134641899672287
binary,56,0.5446602585366478,0.003990944299934045
binary,57,0.5232742459006842,0.0038342404026144037
binary,58,0.5133424127538622,0.0037614658752572945
binary,59,0.5063632887430133,0.0037103270327346837
binary,60,0.4976460196678502,0.0036464521037652287
binary,61,0.4946820205582749,0.003624733692763202
binary,62,0.478737039458339,0.0035078984171285953
binary,63,0.46934520661282747,0.003439080688694668
binary,64,0.458256731426116,0.0033578309809222245
binary,65,0.44935887432594435,0.0032926328110190893
binary,66,0.44696347230675726,0.003275080739090416
binary,67,0.431820280229234,0.003164120493400797
binary,68,0.42619222840257515,0.003122881498990438
binary,69,0.4146516072946186,0.0030383187365956876
binary,70,0.40831190057519723,0.0029918651611813437
binary,71,0.39703854885508866,0.002909260788853173
binary,72,0.3936351053084314,0.0028843223921007225
binary,73,0.3921137886617071,0.0028731750944881677
binary,74,0.3832965614076564,0.0028085677318263128
binary,75,0.3682424957411963,0.0026982605511191872
binary,76,0.36155108214462567,0.0026492298782673
binary,77,0.3550552472483546,0.0026016322890430785
binary,78,0.35123557643846054,0.0025736440280905945
binary,79,0.34877151426665876,0.0025555888556686953
binary,80,0.3452636597545597,0.0025298853978697492
tfidf,1,19.290520485212053,0.14603701829495314
tfidf,2,11.535355790904436,0.08732729456245082
tfidf,3,8.56594550924956,0.06484766142037554
tfidf,4,5.653967435113336,0.04280281324672817
tfidf,5,4.22280375021773,0.03196832708579788
tfidf,6,3.9810373476606746,0.030138057934667634
tfidf,7,3.626163254853757,0.027451517961659795
tfidf,8,3.47215922471696,0.0262856453568317
tfidf,9,2.574003563870605,0.01948624485463768
tfidf,10,2.4413779511862317,0.018482215490017127
tfidf,11,2.2508880794569674,0.017040130352705497
tfidf,12,2.1640394936799416,0.016382651539744848
tfidf,13,2.099757649378936,0.01589601205900011
tfidf,14,1.954707830215816,0.014797926441712458
tfidf,15,1.8120925082141845,0.013718270949562374
tfidf,16,1.7818844446342852,0.01348958372792651
tfidf,17,1.7174613793212863,0.013001875147178594
tfidf,18,1.5723478726317057,0.011903307389635884
tfidf,19,1.5118978445422444,0.011445676302657257
tfidf,20,1.450791236118136,0.010983074637802492
tfidf,21,1.388949547463453,0.010514908119207104
tfidf,22,1.3754547814028935,0.010412747298840291
tfidf,23,1.3421632731736137,0.010160717157918334
tfidf,24,1.2974422919666004,0.009822161298023139
tfidf,25,1.2657279029728559,0.00958207058563188
tfidf,26,1.2443312598232514,0.009420089369547807
tfidf,27,1.2158089489592265,0.009204163975691428
tfidf,28,1.1937527956829077,0.009037190002023934
tfidf,29,1.1758438841939147,0.008901612320915448
tfidf,30,1.135416976499453,0.008595564328943936
tfidf,31,1.12651804729624,0.008528195846696328
tfidf,32,1.0758958683020392,0.008144965540102285
tfidf,33,1.0708112141102955,0.008106472657663347
tfidf,34,1.040245805761062,0.007875080192036952
tfidf,35,1.0218295104331143,0.0077356614106829456
tfidf,36,0.9997981118011522,0.007568874839654668
tfidf,37,0.9879965730202953,0.007479532432529377
tfidf,38,0.9567283111703686,0.007242819082501852
tfidf,39,0.9461577914894556,0.007162795986328162
tfidf,40,0.9249609228062784,0.007002327143506949
tfidf,41,0.9066991906491101,0.0068640784676778895
tfidf,42,0.8835361761906199,0.006688725108558631
tfidf,43,0.8762203881684197,0.0066333416433971264
tfidf,44,0.8431886797843308,0.006383278292058385
tfidf,45,0.835272646714447,0.006323350729858275
tfidf,46,0.8209598189703184,0.0062149968526923295
tfidf,47,0.7920096455767563,0.005995832366966883
tfidf,48,0.7838811724790908,0.005934296548097516
tfidf,49,0.7638020906012034,0.0057822898021004454
tfidf,50,0.759694418613149,0.005751193068877046
tfidf,51,0.7368358365458059,0.0055781443857103935
tfidf,52,0.7304587683845423,0.005529867408401848
tfidf,53,0.7147791926713706,0.005411166698017341
tfidf,54,0.703867506195883,0.005328560831645247
tfidf,55,0.6883356078426112,0.005210978098420868
tfidf,56,0.669987407567666,0.0050720748240750185
tfidf,57,0.6598463452717535,0.004995302893469323
tfidf,58,0.6511999749209051,0.004929846383569565
tfidf,59,0.623926183977195,0.004723372788931585
