test_case,case_id,case_category,source_family,feature_representation,method,params,true_clusters,found_clusters,samples,features,noise,ari,nmi,purity,macro_recall,macro_f1,worst_cluster_recall,outlier_precision,outlier_recall,outlier_f1,singleton_outlier_isolated,grouped_outlier_cluster_recovered,cluster_count_abs_error,over_split,under_split,tree_build_sec,populate_divergences_sec,edge_gate_sec,edge_gate_contrast_covariance_sec,edge_gate_projection_sec,edge_gate_wald_statistic_sec,edge_gate_tree_bh_sec,spectral_context_sec,tangent_whitening_sec,eigensolve_sec,pca_projection_sec,sibling_gate_sec,sibling_gate_pair_record_collection_sec,sibling_gate_inflation_fit_sec,sibling_gate_adjusted_tests_sec,sibling_gate_fdr_sec,traversal_sec,status,skip_reason,labels_length
21,dim_diffuse_6c_136f,gaussian_dimensionality_diffuse,dimensional_gaussian,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",6,1,180,136,1.0,0.0,0.0,0.0,0.16666666666666666,0.047619047619047616,0.0,,,,,,5.0,0.0,1.0,0.0007857090022298507,0.003300208001746796,0.0977593749994412,0.05984026801161235,0.0006874220416648313,0.009234395060047973,0.002769458995317109,0.021407874999567866,0.00496641788049601,0.010128198970051017,0.002436297967506107,0.07067866699799197,0.03938895900500938,0.00043612499575829133,0.006446665996918455,0.023234749998664483,2.5917004677467048e-05,ok,,180
22,dim_diffuse_6c_536f,gaussian_dimensionality_diffuse,dimensional_gaussian,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",6,2,180,536,1.0,-0.004912280701754386,0.0053912441955028065,0.0037384310735099975,0.19444444444444442,0.09722222222222221,0.0,,,,,,4.0,0.0,1.0,0.0009797910024644807,0.011277208999672439,0.30219254099938553,0.22798165011045057,0.0011491140248836018,0.011538138060132042,0.0037186250046943314,0.053289500006940216,0.0193318309247843,0.02259848904213868,0.004507296980591491,0.16272795899567427,0.12554999999701977,0.0004574170015985146,0.006216708003194071,0.029226374994323123,2.8833004762418568e-05,ok,,180
23,dim_consolidated_4c_24f_continuous,continuous_dimensional_gaussian_examples,dimensional_gaussian,continuous,kl,"tree_distance_metric=euclidean, tree_distance_source=precomputed, tree_linkage_method=average",4,4,160,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.00077525000233436,0.003837124997517094,0.0448498749974533,0.017847500123025384,0.0005805040782433935,0.008799818031548057,0.0010058750049211085,0.01262716700148303,0.0027653720026137307,0.005515735982044134,0.0017199630528921261,0.020996040999307297,0.017085915998904966,0.00043608299893094227,0.00019529100245563313,0.002193833002820611,2.5959001504816115e-05,ok,,160
24,dim_consolidated_4c_72f_continuous,continuous_dimensional_gaussian_examples,dimensional_gaussian,continuous,kl,"tree_distance_metric=euclidean, tree_distance_source=precomputed, tree_linkage_method=average",4,1,160,72,1.0,0.0,0.0,0.0,0.25,0.1,0.0,,,,,,3.0,0.0,1.0,0.0007650000043213367,0.009882500002277084,0.10560624999925494,0.0684638229868142,0.0007505449902964756,0.009799996012588963,0.0009668329948908649,0.021136457995453384,0.0059495010355021805,0.009736826010339428,0.0022896619921084493,0.04304079199937405,0.041977541004598606,0.0,0.0,0.00011091700434917584,1.895800232887268e-05,ok,,160
25,dim_diffuse_6c_136f_continuous,continuous_dimensional_gaussian_examples,dimensional_gaussian,continuous,kl,"tree_distance_metric=euclidean, tree_distance_source=precomputed, tree_linkage_method=average",6,1,180,136,1.0,0.0,0.0,0.0,0.16666666666666666,0.047619047619047616,0.0,,,,,,5.0,0.0,1.0,0.0009163329959847033,0.017437875001633074,0.27191333300288534,0.2157366319806897,0.0008931270058383234,0.011029849963961169,0.0010925419992418028,0.038303542001813184,0.011197290012205485,0.021027401991887018,0.002676169984624721,0.12270054200052982,0.11977570799353998,0.000454249995527789,7.995800115168095e-05,0.001260459001059644,2.6415997126605362e-05,ok,,180
26,gauss_single_outlier_4c,gaussian_outlier_singleton,gaussian_outliers,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",5,5,161,40,0.006211180124223602,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0008070420008152723,0.002057457997580059,0.04160925000178395,0.020898943934298586,0.0003503770349198021,0.005193700017116498,0.0017296250007348135,0.008966583001893014,0.0020873339381068945,0.003785658052947838,0.0006122520062490366,0.027177791998838075,0.01745637499698205,0.00039920899871503934,0.0012832499996875413,0.006897499995830003,2.8624999686144292e-05,ok,,161
27,gauss_outlier_cluster_4c,gaussian_outlier_contamination,gaussian_outliers,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",5,7,166,40,0.03614457831325301,0.9763273135703379,0.9752562752331722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,0.0,0.0008495000001857989,0.0019489999976940453,0.04357637500652345,0.02157078199525131,0.00040633299067849293,0.006045870024536271,0.0017612079973332584,0.009470040997257456,0.0019939610428991728,0.0042091529903700575,0.0007279589990503155,0.02856141699885484,0.0180915829987498,0.0004047499969601631,0.001354250001895707,0.007597708005050663,3.062499308725819e-05,ok,,166
28,gauss_outlier_shell_4c,gaussian_outlier_contamination,gaussian_outliers,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",5,12,172,40,0.06976744186046512,0.9874909060017671,0.956258288684052,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,7.0,1.0,0.0,0.0008069590039667673,0.0019029169998248108,0.046155165997333825,0.021584877991699614,0.0004166360085946508,0.006197989088832401,0.001466583002184052,0.012242124998010695,0.0029872530285501853,0.004926499968860298,0.000708957995811943,0.027922458000830375,0.018236916002933867,0.0004085000036866404,0.0012776250005117618,0.00688237500435207,4.245799937052652e-05,ok,,172
29,gauss_single_outlier_4c_continuous,continuous_gaussian_outlier_examples,gaussian_outliers,continuous,kl,"tree_distance_metric=euclidean, tree_distance_source=precomputed, tree_linkage_method=average",5,5,161,40,0.006211180124223602,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0008254999993368983,0.005153833000804298,0.06386462500086054,0.03134000096906675,0.0006623919834964909,0.009186872011923697,0.001129791999119334,0.017308041999058332,0.003825295003480278,0.008838544985337649,0.0019366159467608668,0.02824749999854248,0.024152792000677437,0.0004410420006024651,0.0002487500023562461,0.002288332994794473,2.8540998755488545e-05,ok,,161
30,gauss_outlier_cluster_4c_continuous,continuous_gaussian_outlier_examples,gaussian_outliers,continuous,kl,"tree_distance_metric=euclidean, tree_distance_source=precomputed, tree_linkage_method=average",5,5,166,40,0.03614457831325301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0007912920045782812,0.004636124998796731,0.06584262500109617,0.032239871012279764,0.0007057969705783762,0.009584530002030078,0.001146291004261002,0.01790900000196416,0.003971039019234013,0.009122627954639029,0.0019873330020345747,0.029811000000336207,0.025580625006114133,0.0004204170036246069,0.00023291599791264161,0.0024847919994499534,2.7249996492173523e-05,ok,,166
