gene,subspace_axis_1,subspace_axis_2,cluster_id
KRTAP10-3,-0.008215589073063745,-0.06984009344974054,4
AIRE,-0.2163324852907809,0.2066870111830043,2
ZNF513,-0.1443688972938249,-0.20477587905749833,3
SLA,0.6311463725785935,0.03892824898406984,0
ZRSR1,-0.07061680210890457,0.08772221597352724,2
SRRM1,-0.12545521984850738,0.19820205960594783,2
ANKRD11,-0.20508235973675726,-0.06589856351924325,3
CIRSR,-0.13114018676070782,0.11333284393347064,2
ZNF207,-0.13805805354292106,-0.009643172254299774,4
U2AF1L4,-0.16693725990068597,0.1187402472021115,2
USP37,-0.19661506959870428,0.24638746945356832,4
FMO3,0.5736289493197861,0.13364943038823757,0
ADAR,-0.23385822739293713,0.4420142964722007,1
SH2B3,0.7505882560788837,0.13556751456281618,0
SSU72,-0.22934877012672703,0.2584480278777163,1
SOCS1,0.6993574441136947,0.10033334997565323,0
PAF1,-0.10738619941873259,-0.14526579613447604,3
USP13,-0.08563080241698463,0.11230779801354067,4
TEC,0.7087636652804428,0.08510811440604898,0
RGPD2,-0.13457765770876642,0.18097722260159738,2
WAPAL,-0.2842046614997097,0.5060181451407385,1
KAT6A,-0.09663666280561722,-0.37665890074175873,3
HLF,0.028547403273143215,-0.2558250565012561,4
HRK,0.11858127535495264,-0.08559975854860094,4
BNIPL,0.06078229163006299,-0.04823093257001615,4
GRB10,0.7013540376576834,0.1115651992982707,0
MED1,-0.09814856614086837,-0.3055880299275708,3
NUP93,-0.20111657272445388,0.29052203557971457,2
PDS5B,-0.22850671123729704,0.39522583181250764,1
CBL,0.6830556453605949,0.10675682762593104,0
OVCA2,0.7347119452823367,0.10810366103365944,0
PDS5A,-0.2797741332896529,0.5585567592505143,1
RBM15,-0.2820015301913157,0.49931233979679257,1
TFEC,0.026515992153647236,-0.020395127321993937,4
C19ORF43,-0.10380586091434221,-0.11972236573865334,2
ZFPM1,-0.03425918939340867,-0.17054838547318119,3
RADIL,0.7009362736932707,0.17426461543023025,0
HIST1H3A,-0.2524168923922379,0.11460131260132066,1
ZRSR2P1,-0.15850224661740514,0.10072443457168671,2
PIK3CG,0.7716544494912043,0.1519843916370504,0
IRX4,-0.09667514723627653,-0.37135941951217505,3
CITED1,-0.03700640789729724,-0.04373181658165846,4
GPATCH11,-0.09947216351977393,0.11473961002166776,2
PPP4R3A,-0.0187723129679622,0.06046893008992893,4
SUV39H1,-0.14636791654243542,-0.30738075764960526,3
KITLG,0.6142327730768298,0.09309574964936775,0
PECAM1,0.5035289949136981,0.08352228957550424,0
HIST1H4A,-0.29437581070773056,0.3376814336143563,1
AVEN,0.09427618922746914,0.023501554215607963,4
MAU2,-0.2840469915934255,0.516968046442191,1
PAWR,0.13763963846351834,0.016101491460629662,4
MATK,0.7829380454874275,0.14374327253606534,0
RGL2,0.6375791788915628,0.1364437189710167,0
CDK1,0.13397824709201583,0.1490678683248855,4
BCOR,-0.13915369118829138,-0.38308289726484673,3
CELA1,-0.03073583512654056,-0.053792104642358035,4
CSN1S1,-0.02962165344076339,-0.03168171355075771,4
CBX7,-0.12582909848445467,-0.3554262342101936,3
ZBTB5,-0.11311682447478474,-0.37454626213443154,3
PCGF5,-0.14731290542632147,-0.3461845584829162,3
HAO2,-0.03675337754830943,-0.039326285818843745,4
KDM2B,-0.11455610178514555,-0.42417391354111644,3
ZBTB7A,-0.02555771760717772,-0.42191112132212566,3
PCGF1,-0.09595681010570639,-0.34054267872010835,3
PCGF3,-0.13402575699519126,-0.3370884080834707,3
L3MBTL1,-0.2050721270395156,0.029397251755688872,4
CARD8,-0.11710911185764872,-0.21636643949229872,4
NACC1,-0.09007785920978044,-0.2992686966328609,3
PCGF2,0.021601596400873203,-0.18787181636772599,4
HSPA12A,-0.003900388603308054,0.017532323950955504,4
MLLT1,-0.12358237969857247,-0.31018668621695067,3
ERP44,-0.018657832722326864,0.0037641217589981166,4
NFIC,-0.08128059805752316,-0.4227940761218495,3
SNAPC4,-0.0791860978479178,-0.09333009200306741,4
MLLT3,-0.08895822059013692,-0.20020437064577207,3
QPRT,-0.12781480333026485,-0.2665729643127956,3
KPNA4,-0.18251766434858072,0.047768407418078196,2
NFIA,-0.08453865377136477,-0.44630294690784583,3
CBX4,-0.10361212344976757,-0.3246284893081426,3
NFIX,-0.08668053658993324,-0.48854649844839165,3
SHARPIN,0.07194409344698453,-0.07217244368500603,4
RING1,-0.023384718412526248,-0.3006249691731009,4
C6ORF141,-0.11870760817553809,0.16210969185490687,4
YAF2,-0.03832914116181503,-0.20720467381660873,4
PPP4R1L,-0.12331473057302861,0.023808013570256477,4
RNF2,-0.10691466304059545,-0.23000331361604054,4
BCL6,-0.02199986393646236,-0.37878121448574575,3
NAA10,0.02426723788301234,0.003987162542439478,4
DCAF7,-0.08474233202068138,-0.04328966339965118,4
