schema_version,case_id,test_case,case_category,tree_inference,run_id,status,skip_reason,true_clusters,found_clusters,ari,nmi,macro_f1,purity,n_leaves,n_edges,internal_split_count,total_branch_length,mean_branch_length,max_branch_length,branch_length_missing_count,branch_length_zero_count,cluster_sizes,largest_cluster_fraction,sampled_path_pair_count,sampled_intra_cluster_pair_count,sampled_inter_cluster_pair_count,intra_cluster_path_mean,inter_cluster_path_mean,cluster_path_separation,cluster_path_ratio
brancharchitect_tree_comparison/v1,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,single,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,,5,1,0.0,0.0,0.07960199004975124,0.2484472049689441,161,320,159,156.42283978439613,0.4888213743262379,1.2489815180208776,0,0,161,1.0,12880,12880,0,1.9969666886550723,,,
brancharchitect_tree_comparison/v1,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,ward,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,ok,,5,1,0.0,0.0,0.07960199004975124,0.2484472049689441,161,320,159,156.42283978439613,0.4888213743262379,1.2489815180208776,0,0,161,1.0,12880,12880,0,1.9969666886550723,,,
brancharchitect_tree_comparison/v1,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,weighted,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,,5,1,0.0,0.0,0.07960199004975124,0.2484472049689441,161,320,159,156.42283978439613,0.4888213743262379,1.2489815180208776,0,0,161,1.0,12880,12880,0,1.9969666886550723,,,
brancharchitect_tree_comparison/v1,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,average,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,,5,1,0.0,0.0,0.07766990291262135,0.24096385542168675,166,330,164,161.9197570236886,0.49066593037481393,1.2966576183127612,0,0,166,1.0,13695,13695,0,1.997752438274698,,,
brancharchitect_tree_comparison/v1,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,centroid,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,,5,1,0.0,0.0,0.07766990291262135,0.24096385542168675,166,330,164,162.2405365289648,0.49163798948171156,1.2994221691510985,0,0,166,1.0,13695,13695,0,1.999700768192663,,,
brancharchitect_tree_comparison/v1,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,complete,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,,5,1,0.0,0.0,0.07766990291262135,0.24096385542168675,166,330,164,161.9197570236886,0.49066593037481393,1.2966576183127612,0,0,166,1.0,13695,13695,0,1.997752438274698,,,
brancharchitect_tree_comparison/v1,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,median,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,,5,1,0.0,0.0,0.07766990291262135,0.24096385542168675,166,330,164,162.2405365289648,0.49163798948171156,1.2994221691510985,0,0,166,1.0,13695,13695,0,1.999700768192663,,,
brancharchitect_tree_comparison/v1,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,skip,MAD rooting requires positive distances between leaf pairs.,5,0,,,,,0,0,0,,,,0,0,,,0,0,0,,,,
brancharchitect_tree_comparison/v1,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,single,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,,5,1,0.0,0.0,0.07766990291262135,0.24096385542168675,166,330,164,161.9197570236886,0.49066593037481393,1.2966576183127612,0,0,166,1.0,13695,13695,0,1.997752438274698,,,
brancharchitect_tree_comparison/v1,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,ward,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,ok,,5,1,0.0,0.0,0.07766990291262135,0.24096385542168675,166,330,164,161.9197570236886,0.49066593037481393,1.2966576183127612,0,0,166,1.0,13695,13695,0,1.997752438274698,,,
brancharchitect_tree_comparison/v1,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,weighted,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,,5,1,0.0,0.0,0.07766990291262135,0.24096385542168675,166,330,164,161.9197570236886,0.49066593037481393,1.2966576183127612,0,0,166,1.0,13695,13695,0,1.997752438274698,,,
brancharchitect_tree_comparison/v1,sbm_moderate,60,sbm_graphs,average,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,,3,1,0.0,0.0,0.19607843137254902,0.4166666666666667,120,238,118,103.19988618046357,0.4336129671448049,3.3504972631176524,0,0,120,1.0,7140,7140,0,1.983546340186768,,,
brancharchitect_tree_comparison/v1,sbm_moderate,60,sbm_graphs,centroid,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,,3,1,0.0,0.0,0.19607843137254902,0.4166666666666667,120,238,118,104.32360906525228,0.4383344918708079,3.36839079283757,0,0,120,1.0,7140,7140,0,1.9834066685181253,,,
brancharchitect_tree_comparison/v1,sbm_moderate,60,sbm_graphs,complete,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,,3,1,0.0,0.0,0.19607843137254902,0.4166666666666667,120,238,118,103.89268067794873,0.43652386839474255,3.0890986370298013,0,0,120,1.0,7140,7140,0,1.9832575575697315,,,
brancharchitect_tree_comparison/v1,sbm_moderate,60,sbm_graphs,median,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,,3,1,0.0,0.0,0.19607843137254902,0.4166666666666667,120,238,118,102.66509778899044,0.4313659570965985,3.1834972354237805,0,0,120,1.0,7140,7140,0,1.9833038898010338,,,
brancharchitect_tree_comparison/v1,sbm_moderate,60,sbm_graphs,neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,ok,,3,1,0.0,0.0,0.19607843137254902,0.4166666666666667,120,238,118,101.87342992706655,0.42803962154229647,3.284473226367638,0,0,120,1.0,7140,7140,0,1.9830090619820244,,,
brancharchitect_tree_comparison/v1,sbm_moderate,60,sbm_graphs,single,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,,3,1,0.0,0.0,0.19607843137254902,0.4166666666666667,120,238,118,106.40419298699823,0.4470764411218413,3.3073038611953707,0,0,120,1.0,7140,7140,0,1.983301901073324,,,
