case_id,method,tree_inference,sample_id,cluster_label
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L121,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L122,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L123,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L124,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L125,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L126,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L127,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L128,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L129,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L130,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L131,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L132,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L133,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L134,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L135,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L136,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L137,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L138,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L139,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L140,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L141,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L142,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L143,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L144,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L145,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L146,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L147,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L148,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L149,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L150,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L151,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L152,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L153,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L154,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L155,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L156,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L157,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L158,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L159,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L160,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L161,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L162,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L163,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L164,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L165,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L166,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L167,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L168,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L169,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L170,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L171,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L172,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L173,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L174,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L175,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L176,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L177,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L178,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L179,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L180,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L181,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L182,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L183,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L184,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L185,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L186,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L187,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L188,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L189,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L190,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L191,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L192,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L193,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L194,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L195,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L196,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L197,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L198,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L199,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L200,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L201,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L202,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L203,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L204,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L205,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L206,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L207,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L208,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L209,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L210,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L211,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L212,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L213,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L214,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L215,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L216,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L217,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L218,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L219,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L220,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L221,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L222,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L223,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L224,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L225,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L226,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L227,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L228,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L229,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L230,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L231,1
