case_id,method,tree_inference,valid_internal_metrics,found_clusters,largest_cluster_fraction,effective_cluster_count,silhouette_score,calinski_harabasz_index,davies_bouldin_index,mean_partition_agreement,silhouette_rank,calinski_harabasz_rank,davies_bouldin_rank,cluster_count_rank,method_stability_rank,internal_core_rank_mean,dominant_cluster_penalty,sharp_label_free_score,tree_priority,ari,nmi,macro_f1,purity
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,True,13,0.1375,11.95830177173187,0.0497887722118153,5.869329467923124,2.73083741359343,0.3628867641229161,7.0,7.0,4.0,7.0,5.0,6.0,0.0,7.75,2,0.3366309128790802,0.5615692037653611,0.8686427632727707,0.86875
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,True,6,0.25,5.555649013182259,0.0682993573364969,9.021548402089762,2.723949095811497,0.4715964875369191,2.0,4.0,3.0,4.0,2.0,3.0,0.0,4.0,0,0.6012143800799671,0.6554185204447212,0.8652732974910394,0.8625
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_single,single,False,1,1.0,1.0,,,,0.0,,,,,,,100.0,,7,0.0,0.0,0.1,0.25
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,True,10,0.20625,8.255551859037928,0.0511483430887175,6.679778515006094,2.443467298203985,0.4864483665210694,6.0,6.0,1.0,6.0,1.0,4.333333333333333,0.0,5.833333333333333,4,0.5599158708179279,0.6558894365142478,0.8925073856910264,0.89375
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_median,median,True,4,0.4625,3.5723763234353267,0.057448660509458,9.54884758398097,3.0583469383183974,0.3385345235275339,5.0,3.0,7.0,2.0,7.0,5.0,3.0,8.5,5,0.4412991876391408,0.590995004638288,0.7746415770609318,0.7625
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,True,4,0.49375,3.433955905063533,0.0648974430014287,10.30272816290561,2.757935972485356,0.3400265910471184,3.0,2.0,5.0,2.0,6.0,3.3333333333333335,3.0,6.833333333333334,1,0.4425737138428084,0.6146264000426847,0.763552752229848,0.75625
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,True,4,0.29375,3.945513011298716,0.0744510647789595,11.218057429535405,2.767124037816473,0.4260134044126892,1.0,1.0,6.0,2.0,4.0,2.6666666666666665,0.0,3.1666666666666665,6,0.6867739105930168,0.6819923393649624,0.8756624788381003,0.875
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls,average,True,4,0.25,4.0,0.1030751602770287,18.09654526534309,2.8477027431230404,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,3,1.0,1.0,1.0,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,True,4,0.25,4.0,0.1030751602770287,18.09654526534308,2.8477027431230404,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,2,1.0,1.0,1.0,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,True,4,0.25,4.0,0.1030751602770287,18.09654526534308,2.8477027431230404,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,0,1.0,1.0,1.0,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_single,single,True,4,0.25,4.0,0.1030751602770287,18.09654526534308,2.847702743123041,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,7,1.0,1.0,1.0,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,True,4,0.25,4.0,0.1030751602770287,18.09654526534309,2.8477027431230404,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,4,1.0,1.0,1.0,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_median,median,True,4,0.25,4.0,0.1030751602770287,18.09654526534308,2.8477027431230404,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,5,1.0,1.0,1.0,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,True,4,0.25,4.0,0.1030751602770287,18.09654526534309,2.8477027431230404,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,1,1.0,1.0,1.0,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,True,4,0.25,4.0,0.1030751602770287,18.096545265343085,2.8477027431230404,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,6,1.0,1.0,1.0,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls,average,True,8,0.2133333333333333,7.486350264063185,0.0499274617434115,36.63153894725099,3.3811784302338768,0.5958693703039045,8.0,7.0,6.0,7.5,8.0,7.0,0.0,8.875,3,0.4923389076126947,0.7061185318563697,1.0,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,True,7,0.2233333333333333,6.471920536132667,0.0501288930035109,40.78863037514965,3.546454074580945,0.6121871234573987,7.0,6.0,7.0,5.5,7.0,6.666666666666667,0.0,8.041666666666668,2,0.5589412612620978,0.740782693821513,1.0,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,True,3,0.3333333333333333,2.9999999999999996,0.2655629237724614,104.68637851600388,1.7161872454423344,0.7677876974347448,2.5,2.5,2.5,2.5,2.5,2.5,0.0,3.125,0,1.0,1.0,1.0,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_single,single,True,3,0.3333333333333333,2.9999999999999996,0.2655629237724614,104.68637851600388,1.7161872454423344,0.7677876974347448,2.5,2.5,2.5,2.5,2.5,2.5,0.0,3.125,7,1.0,1.0,1.0,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,True,3,0.3333333333333333,2.9999999999999996,0.2655629237724614,104.68637851600388,1.7161872454423344,0.7677876974347448,2.5,2.5,2.5,2.5,2.5,2.5,0.0,3.125,4,1.0,1.0,1.0,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_median,median,True,8,0.3333333333333333,4.925240141548266,0.1824342566820791,35.31243015866805,2.356441091540873,0.695633989651007,5.0,8.0,5.0,7.5,5.0,6.0,0.0,7.875,5,0.8056580488572368,0.81590662954691,1.0,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,True,7,0.1966666666666666,6.825409213821229,0.0522389973776919,41.67900158290725,3.611839866230135,0.6173095998184721,6.0,5.0,8.0,5.5,6.0,6.333333333333333,0.0,7.708333333333333,1,0.5175756643111844,0.7277350211427899,1.0,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,True,3,0.3333333333333333,2.9999999999999996,0.2655629237724614,104.68637851600388,1.716187245442334,0.7677876974347448,2.5,2.5,2.5,2.5,2.5,2.5,0.0,3.125,6,1.0,1.0,1.0,1.0
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls,average,True,8,0.125,7.999999999999998,0.3208861133698408,132.40742248062415,1.28965371641419,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,3,1.0,1.0,1.0,1.0
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,True,8,0.125,7.999999999999998,0.3208861133698408,132.40742248062415,1.28965371641419,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,2,1.0,1.0,1.0,1.0
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,True,8,0.125,7.999999999999998,0.3208861133698408,132.40742248062415,1.28965371641419,1.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,5.625,0,1.0,1.0,1.0,1.0
