case_id,left_method,right_method,left_tree_inference,right_tree_inference,partition_ari
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_single,average,single,0.0
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_centroid,average,centroid,0.9333439500170414
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_median,average,median,0.9456130839525169
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_ward,average,ward,0.901367658002702
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,average,neighbor_joining,0.6464269549057308
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_weighted,complete,weighted,0.6835960397157113
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_single,complete,single,0.0
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_centroid,complete,centroid,0.6664615727626112
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_median,complete,median,0.672555009681784
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_ward,complete,ward,0.6727472816692537
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,complete,neighbor_joining,0.4717238574045818
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_single,weighted,single,0.0
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_centroid,weighted,centroid,0.8802356217093072
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_median,weighted,median,0.9131158143707014
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_ward,weighted,ward,0.8477236844670352
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,weighted,neighbor_joining,0.6068994122923773
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_centroid,single,centroid,0.0
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_median,single,median,0.0
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_ward,single,ward,0.0
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,single,neighbor_joining,0.0
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_median,centroid,median,0.9398503998625501
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_ward,centroid,ward,0.9531616653311348
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,centroid,neighbor_joining,0.6632453426625476
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_median,tbs_diffusion_graphtools_adaptive_nnls_ward,median,ward,0.9005643741541698
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_median,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,median,neighbor_joining,0.6360670774336527
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ward,neighbor_joining,0.6798870510417651
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_complete,average,complete,0.5961586251893939
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_weighted,average,weighted,0.6093843755447096
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_single,average,single,0.0
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_centroid,average,centroid,0.6746624147793427
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_median,average,median,0.4196384468947775
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_ward,average,ward,0.39855895862077423
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,average,neighbor_joining,0.47025477685152134
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_weighted,complete,weighted,0.45020809837585946
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_single,complete,single,0.0
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_centroid,complete,centroid,0.5541222372709962
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_median,complete,median,0.29769859591939757
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_ward,complete,ward,0.2837419483567954
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,complete,neighbor_joining,0.35827784374797017
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_single,weighted,single,0.0
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_centroid,weighted,centroid,0.6380628674519556
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_median,weighted,median,0.4121588355420786
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_ward,weighted,ward,0.44708131002731666
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,weighted,neighbor_joining,0.744279925816514
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_centroid,single,centroid,0.0
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_median,single,median,0.0
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_ward,single,ward,0.0
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,single,neighbor_joining,0.0
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_median,centroid,median,0.48392652670373687
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_ward,centroid,ward,0.45938186282857985
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,centroid,neighbor_joining,0.5949826566128753
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_median,tbs_diffusion_graphtools_adaptive_nnls_ward,median,ward,0.36672134463458367
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_median,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,median,neighbor_joining,0.3895979149981635
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_ward,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ward,neighbor_joining,0.42470071286177996
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_complete,average,complete,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_weighted,average,weighted,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_single,average,single,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_centroid,average,centroid,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_median,average,median,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_ward,average,ward,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,average,neighbor_joining,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_weighted,complete,weighted,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_single,complete,single,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_centroid,complete,centroid,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_median,complete,median,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_ward,complete,ward,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,complete,neighbor_joining,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_single,weighted,single,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_centroid,weighted,centroid,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_median,weighted,median,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_ward,weighted,ward,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,weighted,neighbor_joining,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_centroid,single,centroid,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_median,single,median,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_ward,single,ward,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,single,neighbor_joining,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_median,centroid,median,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_ward,centroid,ward,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,centroid,neighbor_joining,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_median,tbs_diffusion_graphtools_adaptive_nnls_ward,median,ward,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_median,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,median,neighbor_joining,1.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_ward,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ward,neighbor_joining,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_complete,average,complete,0.7713566614644154
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_weighted,average,weighted,0.4923389076126947
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_single,average,single,0.4923389076126947
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_centroid,average,centroid,0.4923389076126947
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_median,average,median,0.5595206465761606
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_ward,average,ward,0.8708526536359769
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,average,neighbor_joining,0.4923389076126947
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_weighted,complete,weighted,0.5589412612620978
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_single,complete,single,0.5589412612620978
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_centroid,complete,centroid,0.5589412612620978
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_median,complete,median,0.49273067769616796
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_ward,complete,ward,0.7854574799928168
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,complete,neighbor_joining,0.5589412612620978
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_single,weighted,single,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_centroid,weighted,centroid,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_median,weighted,median,0.8056580488572368
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_ward,weighted,ward,0.5175756643111844
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,weighted,neighbor_joining,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_centroid,single,centroid,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_median,single,median,0.8056580488572368
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_ward,single,ward,0.5175756643111844
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,single,neighbor_joining,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_median,centroid,median,0.8056580488572368
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_ward,centroid,ward,0.5175756643111844
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,centroid,neighbor_joining,1.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_median,tbs_diffusion_graphtools_adaptive_nnls_ward,median,ward,0.5945544078557731
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_median,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,median,neighbor_joining,0.8056580488572368
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ward,neighbor_joining,0.5175756643111844
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_complete,average,complete,1.0
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_weighted,average,weighted,1.0
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_single,average,single,1.0
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_centroid,average,centroid,1.0
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_median,average,median,1.0
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_ward,average,ward,1.0
