case_id,method,run_id,tree_inference,mean_partition_agreement,median_partition_agreement,min_partition_agreement,max_partition_agreement,agreement_pair_count
cat_clear_3cat_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,0.8331226295828067,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,0.8331226295828067,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,0.8331226295828067,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,0.8331226295828067,0.7079646017699115,0.7079646017699115,1.0,7
