case_id,left_run_id,right_run_id,left_method,right_method,left_tree_inference,right_tree_inference,partition_ari
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_average,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,median,
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_average,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,neighbor_joining,
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_average,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,single,
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_centroid,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,centroid,median,
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_centroid,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,centroid,neighbor_joining,0.0
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_centroid,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,centroid,single,0.0
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_median,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,median,neighbor_joining,
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_median,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,median,single,
cont_lowrank_pggn_shrinkage::none,family_metric_tree_builder_neighbor_joining,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,neighbor_joining,single,1.0
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_ward,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,ward,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_complete,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,complete,
