source_case_id,metric_family,geometry_profile,tree_inference,status_none,found_clusters_none,ari_none,nmi_none,macro_f1_none,purity_none,silhouette_score_none,davies_bouldin_index_none,calinski_harabasz_index_none,largest_cluster_fraction_none,singleton_fraction_none,status_branch,found_clusters_branch,ari_branch,nmi_branch,macro_f1_branch,purity_branch,silhouette_score_branch,davies_bouldin_index_branch,calinski_harabasz_index_branch,largest_cluster_fraction_branch,singleton_fraction_branch,delta_found_clusters,delta_ari,delta_nmi,delta_macro_f1,delta_purity,delta_silhouette_score,delta_davies_bouldin_index,delta_calinski_harabasz_index,delta_largest_cluster_fraction,delta_singleton_fraction
sbm_moderate,sbm,regularized_laplacian_spectral,ward,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
sbm_moderate,sbm,regularized_laplacian_spectral,neighbor_joining,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
cat_clear_3cat_4c,categorical,block_aware_mismatch_hellinger,average,ok,4.0,1.0,1.0,1.0,1.0,0.11972905861934109,2.634590701404755,13.255644160907323,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.11972905861934109,2.634590701404755,13.255644160907323,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat_clear_3cat_4c,categorical,block_aware_mismatch_hellinger,complete,ok,4.0,1.0,1.0,1.0,1.0,0.11972905861934109,2.634590701404755,13.255644160907323,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.11972905861934109,2.634590701404755,13.255644160907323,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat_clear_3cat_4c,categorical,block_aware_mismatch_hellinger,weighted,ok,3.0,0.7079646017699115,0.8571428571428572,0.6666666666666666,0.75,0.07918065286324154,2.963268813351819,9.883992005430278,0.5,0.0,ok,3.0,0.7079646017699115,0.8571428571428572,0.6666666666666666,0.75,0.07918065286324154,2.963268813351819,9.883992005430278,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat_clear_3cat_4c,categorical,block_aware_mismatch_hellinger,single,ok,4.0,1.0,1.0,1.0,1.0,0.11972905861934109,2.634590701404755,13.255644160907323,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.11972905861934109,2.634590701404755,13.255644160907323,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat_clear_3cat_4c,categorical,block_aware_mismatch_hellinger,centroid,ok,3.0,0.7079646017699115,0.8571428571428572,0.6666666666666666,0.75,0.07918065286324154,2.963268813351819,9.883992005430278,0.5,0.0,ok,3.0,0.7079646017699115,0.8571428571428572,0.6666666666666666,0.75,0.07918065286324154,2.963268813351819,9.883992005430278,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat_clear_3cat_4c,categorical,block_aware_mismatch_hellinger,median,ok,4.0,1.0,1.0,1.0,1.0,0.11972905861934109,2.634590701404755,13.255644160907323,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.11972905861934109,2.634590701404755,13.255644160907323,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat_clear_3cat_4c,categorical,block_aware_mismatch_hellinger,ward,ok,3.0,0.7079646017699115,0.8571428571428572,0.6666666666666666,0.75,0.07918065286324154,2.963268813351819,9.883992005430278,0.5,0.0,ok,3.0,0.7079646017699115,0.8571428571428572,0.6666666666666666,0.75,0.07918065286324154,2.963268813351819,9.883992005430278,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat_clear_3cat_4c,categorical,block_aware_mismatch_hellinger,neighbor_joining,ok,3.0,0.7079646017699115,0.8571428571428572,0.6666666666666666,0.75,0.0872161523149656,2.7963614369610994,10.764534527637425,0.5,0.0,ok,3.0,0.7079646017699115,0.8571428571428572,0.6666666666666666,0.75,0.0872161523149656,2.7963614369610994,10.764534527637425,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
