gene,mode_52,mode_53,mode_54,mode_55,mode_56,mode_57,mode_58,mode_59,mode_60,mode_61,mode_62,mode_63,mode_64,mode_65,mode_66,mode_67,mode_68,mode_69,mode_70,mode_71,mode_72,mode_73,mode_74,mode_75,mode_76,mode_77,mode_78,mode_79,mode_80
MECOM,-0.1369268743548176,0.05403184227482275,-0.09373356834647639,-0.07806504086354439,0.012082722344173354,-0.05012677557255161,-0.0885480240339928,0.03138823648915088,-0.04579328506887786,-0.0074828945454697,0.06469551852036066,0.014447266939717146,-0.026828794740572242,-0.044780336415584446,-0.03939024481868301,-0.05599364856489707,0.039763939736918344,0.0923810915441646,0.0376969136548122,-0.0066172335014574,-0.09632929078836351,0.07451726083046778,0.04868904773723479,-0.02284130567721853,-0.1493657084663548,0.054400273393821454,-0.0443666686309292,-0.008197549292727915,0.02954018319128492
NPM1,-0.0220516209311895,0.02014982545347837,0.03841977342086305,0.030801857260627563,-0.01420569553061601,0.1296077885191468,0.07964801998801412,0.044734093070335545,0.059340150681345794,-0.05206065482850589,-0.007798686761738027,0.07109325710533548,0.04009727180807278,-0.08073801749825389,-0.06753584722717026,-0.002807148594002711,-0.0021179365059432642,0.010623092208322393,0.009455084989774263,0.010307727761994819,0.08056907652414047,-0.11351731450574758,-0.07959825138981878,0.016911788608506624,0.015657419551235816,-0.023262249495815738,-0.009847317008669977,-0.08433331873200942,0.026044560943569103
WAPL,0.017477794991192112,-0.04856508056451689,0.034514037046479505,0.04815711966674564,0.037675079400489135,-0.006192089522069903,0.012159507073781405,-0.013273485395647391,-0.03434229238482137,-0.050040339066341234,0.016389749793154777,0.04463030688768908,-0.04094434597320301,0.0006092228116635891,0.017894002818435176,0.009527971547073707,0.012588597090598102,0.014644942318966653,0.05033467916451103,-0.00022287986816219,-0.02171053584379182,-0.007851919825165086,0.02527264973768114,-0.09647331262725242,0.01959675617518195,0.02417339455150168,-0.04546721309493625,-0.017990699063391125,-0.0008183676819505501
SMC1B,-0.017362342850389328,0.05556210999807301,-0.03676574925515622,-0.034566801091347715,-0.004919572158163624,-0.040218192059733975,-0.014391699944168718,-0.00822861782838821,0.042635775467547626,-0.039846209548905144,0.06846989053269345,0.06993147125049003,-0.006337543658118617,0.06395395534552616,0.01422931549629136,-0.03900065617635785,0.08455358233554294,-0.003290025542097382,0.06787665012108628,0.009754805714741261,0.06782685580029874,-0.03359889043217977,-0.0425574975418573,-0.016258029657057704,-0.02005793884382914,-0.009832533170440793,-0.09713364549651067,-0.06719376621151085,0.033449752279979046
CDCA5,0.012897596063296221,-0.045610330102030965,0.11360284158002298,-0.035435762542378534,-0.012705449692612695,0.022856975484942442,-0.046545706568791395,-0.0688917683677064,-0.029411518865923532,0.024150625525062915,0.009212408633993011,-0.022903769152705405,-0.02518866906399793,-0.08572745356660436,0.0007210767910003254,-0.021402172117779922,0.018198637574077255,-0.0003822305214288183,0.01422489644244982,0.040516003988113086,0.012270277230018755,0.014158118264580192,-0.038189190337930785,-0.03625820657164425,0.014714503148061277,-0.008035122733272497,0.09573404611121517,0.03290884989138919,0.007098485413356255
SGO1,-0.07709166896529378,-0.006805498927445149,0.026769919926940132,-0.07759467287061689,-0.0625093405916461,0.09707935373275402,-0.039092741995322054,0.012356512764267242,0.05093912568967323,0.020427337708652408,-0.08901883268568647,0.006599545118048068,-0.09234080877477262,0.0703766413570167,-0.0784664627021984,-0.060219439055590296,-0.09812123735285315,-0.020681383086377354,-0.09103349962456454,-0.06175812175237763,-0.01779911525410341,0.01587969095058925,0.009246478986389106,-0.04816446103640561,0.05036419034246964,-0.02945449559321867,-0.05586406492076466,-0.06028335978517549,0.0225210959797807
REC8,0.033862832079560486,0.015111964213958946,0.03652096767475174,-0.06558999515025286,-0.015601439322421367,-0.0276292780955752,-0.02930247726799653,-0.03108822740760206,0.06761358033116213,-0.016243999790844416,0.0656754306010032,0.04959433612125993,0.07976513094094762,-0.05761894232622906,-0.11798017715854699,-0.10515609474827822,-0.1329469671651526,-0.03823359165646076,0.050704361401215585,0.1135576891318038,-0.06364414954777349,-0.09346119056549866,-0.009621577250103394,0.010204357001266824,0.02754846355171984,0.03886431008573897,-0.08029160660963028,0.08533122419844806,0.05764341040906414
MXD4,0.051761143210575504,-0.2088837717693254,0.12795317523752536,0.07440822921076627,0.08976978624155385,-0.03812464321602747,0.07582427176697935,0.07169464376847527,0.08090101810413568,0.07019047919032075,0.03545219057086985,-0.060460854509792265,0.06952710823523431,-0.05718327237873675,-0.04226864077681295,0.027383288907039626,0.002056094346492264,-0.07109077306091939,0.05498439549978157,-0.1099115038123818,0.03923218498607547,0.09865175240042552,0.011449550817659025,0.0008201317787725508,-0.045060765012186234,-0.0272048802822269,0.05322309309370773,-0.015817133256085334,-0.1291438291034479
STAG3,-0.05609843179998588,-0.0494671598769782,-0.026318369523843706,0.04446675644527486,-0.04164625489840204,-0.016362168579739038,-0.0016231978065184287,0.0009594783169792631,0.006484925130831914,0.02856783700868496,0.029596705165059516,-0.012484427030540436,-0.003232633607288587,0.010412828479019764,-0.07383800410403107,0.0019169622800469066,0.0012594371249730364,0.0334746899346835,-0.07585489404092306,0.014144566080456602,0.022958575287862854,-0.0021915740696977696,-0.037943743442255214,0.030614506532358622,0.030672235980892193,-0.029516929175519294,0.01688913714052782,-0.004537878388908669,0.03469392790195555
NIPBL,-0.055897222604516225,0.019630429574068377,0.03061638068263197,-0.02853611076751146,0.042744486919371646,0.014010765625237969,-0.005600990901793252,0.007330018387389502,-0.029082054468791182,0.00017660189917144856,0.03667986204566251,-0.016137686142690132,-0.002267581513089934,-0.009746900329852141,0.03632303466565563,0.017004937422895456,-0.011258717332825605,0.021634522819507073,0.0049131290083241465,-0.046301392719506056,0.014434497049380981,0.03958742889928043,-0.014044643124093625,-0.01733544804548428,-0.034038419789694664,0.004305936824385085,-0.02211278993671848,0.003891414089125902,-0.028249618166922966
