duplicate_group_id,n_members,members
128,3,MET Activates PI3K AKT Signaling;RAC2 GTPase Cycle;RAC1 GTPase Cycle
132,3,"Signaling by PDGFRA Extracellular Domain Mutants;Signaling by FGFR1 in Disease;Signaling by PDGFRA Transmembrane, Juxtamembrane and Kinase Domain Mutants"
134,3,Signaling by MRAS-complex Mutants;Gain-of-function MRAS Complexes Activate RAF Signaling;SHOC2 M1731 Mutant Abolishes MRAS Complex Function
142,3,"Plasma Lipoprotein Assembly;Chylomicron Assembly;Plasma Lipoprotein Assembly, Remodeling, and Clearance"
147,3,PIWI-interacting RNA (piRNA) Biogenesis;FGFR2 Mutant Receptor Activation;Signaling by FGFR2 IIIa TM
166,3,Metabolism of Nucleotides;Purine Ribonucleoside Monophosphate Biosynthesis;Nucleotide Biosynthesis
196,3,PTK6 Expression;Basigin Interactions;PTK6 Regulates Proteins Involved in RNA Processing
214,3,Carnitine Shuttle;Activation of PPARGC1A (PGC-1alpha) by Phosphorylation;Lipophagy
242,3,Autointegration Results in Viral DNA Circles;APOBEC3G Mediated Resistance to HIV-1 Infection;Integration of Viral DNA Into Host Genomic DNA
266,3,PI-3K Cascade FGFR4;PI-3K Cascade FGFR1;PI-3K Cascade FGFR2
267,3,Translesion Synthesis by REV1;Translesion Synthesis by POLI;Translesion Synthesis by POLK
268,3,Formation of Apoptosome;Regulation of the Apoptosome Activity;Cytochrome C-Mediated Apoptotic Response
272,3,NFE2L2 Regulates Pentose Phosphate Pathway Genes;NFE2L2 Regulating Inflammation Associated Genes;NFE2L2 Regulating MDR Associated Enzymes
281,3,Visual Phototransduction;Metabolism of Fat-Soluble Vitamins;Retinoid Metabolism and Transport
289,3,"Membrane Binding and Targetting of GAG Proteins;TGF-beta Receptor Signaling in EMT (Epithelial to Mesenchymal Transition);Synthesis And Processing Of GAG, GAGPOL Polyproteins"
290,3,MET Interacts With TNS Proteins;CD163 Mediating an Anti-Inflammatory Response;Inositol Phosphate Metabolism
364,3,Complex III Assembly;Respiratory Electron Transport;Arachidonate Metabolism
453,3,Insulin Receptor Recycling;Regulation of MITF-M-dependent Genes Involved in Lysosome Biogenesis and Autophagy;Transferrin Endocytosis and Recycling
457,3,MyD88 Dependent Cascade Initiated on Endosome;Toll Like Receptor 9 (TLR9) Cascade;Toll Like Receptor 7 8 (TLR7 8) Cascade
490,3,Glycerophospholipid Biosynthesis;Ficolins Bind to Repetitive Carbohydrate Structures on the Target Cell Surface;Lectin Pathway of Complement Activation
562,3,Gap Junction Trafficking;Recycling Pathway of L1;Gap Junction Trafficking and Regulation
620,3,Mitochondrial Translation Elongation;Mitochondrial Translation Termination;Mitochondrial Translation Initiation
650,3,Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes;MLL4 and MLL3 Complexes Regulate Expression of PPARG Targets in Adipogenesis and Hepatic Steatosis;Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes
681,3,Translocation of ZAP-70 to Immunological Synapse;Cell-extracellular Matrix Interactions;Retrograde Neurotrophin Signalling
699,3,Chemokine Receptors Bind Chemokines;Atorvastatin ADME;Transport of Organic Anions
750,3,Class I Peroxisomal Membrane Protein Import;SMAC (DIABLO) Binds to IAPs;SMAC(DIABLO)-mediated Dissociation of IAP Caspase Complexes
857,3,Leishmania Phagocytosis;FCGR3A-mediated Phagocytosis;Parasite Infection
1042,3,Biosynthesis of E-series 18(S)-resolvins;Synthesis of UDP-N-acetyl-glucosamine;Biosynthesis of EPA-derived SPMs
4,2,Miro GTPase Cycle;RHOT2 GTPase Cycle
11,2,Elastic Fibre Formation;Molecules Associated With Elastic Fibres
14,2,Processing of SMDT1;Interconversion of Nucleotide Di- and Triphosphates
17,2,Signaling by ALK in Cancer;Signaling by ALK Fusions and Activated Point Mutants
23,2,Signaling by PTK6;Signaling by Non-Receptor Tyrosine Kinases
25,2,RHO GTPases Activate ROCKs;RHO GTPases Activate PAKs
26,2,Mucopolysaccharidoses;Diseases of Carbohydrate Metabolism
34,2,"Incretin Synthesis, Secretion, and Inactivation;Synthesis, Secretion, and Inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
35,2,Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs);Post-translational Protein Phosphorylation
38,2,Telomere C-strand Synthesis Initiation;DNA Replication Initiation
55,2,Regulation of Necroptotic Cell Death;RIPK1-mediated Regulated Necrosis
74,2,Aspirin ADME;Phenylalanine and Tyrosine Metabolism
84,2,VEGFA-VEGFR2 Pathway;Signaling by VEGF
88,2,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway;ChREBP Activates Metabolic Gene Expression
94,2,Loss of Proteins Required for Interphase Microtubule Organization From the Centrosome;Loss of Nlp From Mitotic Centrosomes
101,2,Regulation of Lipid Metabolism by PPARalpha;PPARA Activates Gene Expression
103,2,RET Signaling;Cell Surface Interactions at the Vascular Wall
122,2,rRNA Processing;Major Pathway of rRNA Processing in the Nucleolus and Cytosol
143,2,Protein Folding;Chaperonin-mediated Protein Folding
146,2,Recruitment of Mitotic Centrosome Proteins and Complexes;Centrosome Maturation
160,2,TGFBR1 KD Mutants in Cancer;SMAD2 3 Phosphorylation Motif Mutants in Cancer
165,2,IkBA Variant Leads to EDA-ID;Interleukin-1 Processing
174,2,Regulation of CDH11 Function;CDH11 Homotypic and Heterotypic Interactions
181,2,"SMAC, XIAP-regulated Apoptotic Response;Release of Apoptotic Factors From the Mitochondria"
183,2,HIV Elongation Arrest and Recovery;Pausing and Recovery of HIV Elongation
198,2,Regulation of Pyruvate Dehydrogenase (PDH) Complex;PDH Complex Synthesizes acetyl-CoA From PYR
200,2,Constitutive Signaling by NOTCH1 HD Domain Mutants;Signaling by NOTCH1 HD Domain Mutants in Cancer
202,2,Neurodegenerative Diseases;Deregulated CDK5 Triggers Multiple Neurodegenerative Pathways in Alzheimer's Disease Models
206,2,Response to Elevated Platelet Cytosolic Ca2+;Platelet Degranulation
226,2,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants;Signaling by Ligand-Responsive EGFR Variants in Cancer
232,2,Glutathione Synthesis and Recycling;Common Pathway of Fibrin Clot Formation
234,2,RNA Pol II CTD Phosphorylation and Interaction With CE During HIV Infection;RNA Pol II CTD Phosphorylation and Interaction With CE
252,2,RNA Polymerase III Transcription;RNA Polymerase III Abortive And Retractive Initiation
