gene,mode_02,mode_03,mode_04,mode_05
CARD8,-0.09326256767333534,-0.17445166376429705,0.069449241396233,0.05165935922812134
NACC1,-0.0722084041028174,-0.2572657006263805,-0.059049650866728295,-0.1382181470010285
PCGF2,0.0485936154681651,-0.15683772502009327,0.13090995055278523,0.2647468741597732
HSPA12A,0.04193278461279829,0.05205144978281804,0.025271106690889708,0.1147638830856835
MLLT1,-0.10609546820121518,-0.2646236646162769,-0.09081441521140605,-0.1748157304503123
ERP44,0.024508919036119212,0.03775212454873178,0.03883782020094139,0.035495131828977886
NFIC,-0.07598619922405307,-0.3835502508356816,-0.032991969338748366,-0.21879269306675908
SNAPC4,-0.04204043230663885,-0.051115569201784526,-0.034012220260352284,0.029836204907937442
MLLT3,-0.057756295999299774,-0.1523443946019905,-0.18565367863935311,-0.0695199279005415
QPRT,-0.10361514717667934,-0.21703079659758476,-0.15692835889344683,-0.10817421291481352
KPNA4,-0.12104738931538857,0.11382126221694751,-0.37489889082350836,0.13627827685423644
NFIA,-0.08036773918504467,-0.4056971640916926,-0.03590643328887564,-0.162070729472281
CBX4,-0.08810396170985814,-0.28185660718042227,-0.026863193708131373,-0.08455631314279419
NFIX,-0.08650841999730519,-0.4480915822160044,-0.03264545458575323,-0.18155942319721835
SHARPIN,0.11166675492831933,-0.04194283914455206,0.05958180038386918,0.3195331683696029
RING1,-0.0072794379460030785,-0.2668670714796522,0.10751973309013416,0.11948667431621576
C6ORF141,-0.061723348893957315,0.20322610095662938,0.17349647638886856,0.31856773763478735
YAF2,-0.01497676595559633,-0.1736699765478994,0.15813903378023395,0.16978777879588894
PPP4R1L,-0.08017724375965958,0.06357577368640002,0.15052915790124854,0.12900400896045727
RNF2,-0.0861242535449614,-0.19167210156615153,0.18124934660179845,0.16168676538222126
BCL6,-0.009663408538074758,-0.3408428818345021,-0.01822448075308733,0.057678032180535695
NAA10,0.06915010478736186,0.03671445042786875,-0.010678208946255215,0.05859470278533514
DCAF7,-0.045688465094290545,-0.004257149972103514,0.09947493531437568,0.14696736932783216
RYBP,0.017326177057465364,-0.10564914242049113,0.1781514152459544,0.1806633967833232
CBX8,-0.09828251252869526,-0.21389557460173136,-0.04798251458058287,-0.04222983667230785
PIP,0.007231989325348846,0.13892117137076132,0.19411597359466673,0.24300188413592966
NCAPH2,-0.07014870861327073,0.22923223618758487,0.17532343085689273,0.2356994885177282
B4GALT2,-0.040843428534953354,0.1360420265293905,0.11314547538391159,0.25817284689534903
SP1,-0.010165985300724855,-0.30160291254694127,0.06898401853746076,0.15606455888321163
CTBP1,-0.09128527200665373,-0.3852567135946495,0.008695967039659873,-0.1121738666550092
CDC16,-0.09146167030607251,0.20740996350621516,0.18128436818554838,0.27865742509936076
CBX3,-0.17736325104922973,-0.11726081286679339,0.07807982056800879,-0.09549921757598881
BRAF,0.5854812981932357,0.058703679046462565,0.049833624687569515,0.1756288931641358
CCDC96,-0.05076554911496254,0.3313316845479457,0.1718066100195118,0.3041884285643634
CBX6,-0.08971219509123793,-0.16303751465111946,-0.1261375056159509,-0.07822302631602028
SKP1,-0.002856103940608256,-0.032625329457588254,0.1843489600827975,0.3677278057411235
S100P,-0.056754141227193314,0.2807626276591793,0.14573604123286932,0.2522473206007491
USP7,-0.12616370274638733,-0.08514145791525467,0.05861964633066616,-0.06442863213335363
