gene,tree_distance_axis_1,tree_distance_axis_2,cluster_id
C19ORF43,0.0019844510746828167,-0.011991265746993373,45
ZFPM1,-0.011128002791991503,-0.0032451537935087927,98
RADIL,0.0012403558424722186,0.011464240156730166,18
HIST1H3A,-0.0022907254573475504,0.013395574863363036,28
ZRSR2P1,0.003158837589011665,-0.008109713920160572,63
PIK3CG,-0.009523911596073574,-0.006177458788453687,106
IRX4,-0.00426500426559862,-0.012590828417688698,53
CITED1,0.012950434567327812,-0.009226811371665214,7
GPATCH11,0.0031639483524220336,-0.008553935414811266,62
PPP4R3A,-0.00899248883885411,-1.793314878465333e-05,88
SUV39H1,0.01426330634271272,-0.006392087819567413,2
KITLG,-0.006135599370143823,-0.0005225222644177626,87
PECAM1,-0.00579153404060034,0.0005048322864804943,85
HIST1H4A,-0.002149720520347527,0.012954112927423695,29
AVEN,0.007773029416612138,0.011905170177310213,124
MAU2,-0.0006052668661741076,0.0002462880545378267,70
PAWR,-0.009901139298553126,-0.006887188952177991,107
MATK,-0.0047716106679258135,-0.001396005332233729,82
RGL2,0.011661732290564292,0.006760414952176314,141
CDK1,0.005413416652890672,0.004856424396500525,34
BCOR,-0.013391010518375986,0.0037367557204218923,112
CELA1,-0.010724745733334413,-0.0012382836685587582,95
CSN1S1,-0.009032064738447733,-0.00739698639182605,110
CBX7,0.012507227377354768,-0.01015099953224069,4
ZBTB5,-0.003554372363714694,-0.012529716008484985,54
PCGF5,-0.012238570893232608,0.004546693566986652,118
HAO2,-0.00472298644388835,-0.002200841536555823,83
KDM2B,0.0014318285826553682,0.012190934116717872,17
ZBTB7A,0.0047952768239514255,0.013884131788890164,136
PCGF1,0.014990604176735985,-0.005802634844121584,5
PCGF3,0.002389198349872119,-0.011700273249884055,46
L3MBTL1,-0.011867032803626604,0.006212548365742846,116
CARD8,-0.005705935786448605,-0.008154193359871999,80
NACC1,-0.004976334814047954,-0.00015206743733512664,84
PCGF2,0.0006845783858662463,-0.012404552961883577,48
HSPA12A,0.0009161319803719371,-0.0015187465586292213,68
MLLT1,-0.009825062734796736,-0.0018904879547785645,92
ERP44,-0.011290575825526677,-0.0035184941118895892,99
NFIC,0.007731873837018142,0.012494571524366858,125
SNAPC4,-0.004357345935525066,0.013179535478672651,24
MLLT3,-0.009973990539751681,-0.0016269334913049291,93
QPRT,0.006406452556014111,0.0034368008156495634,33
KPNA4,0.005922214502502985,0.004046014248281069,35
NFIA,0.0073397469977271885,0.01217622418944394,126
CBX4,-0.004930632603773526,0.013183323257577682,22
NFIX,0.0061137251734518835,0.013359880162930871,121
SHARPIN,-0.007216634596730374,-0.00930589394213858,74
RING1,0.014707811264407945,-0.005311704200917079,8
C6ORF141,0.00023589375781096625,-0.0008642593521118231,71
YAF2,0.01308802622805625,0.005572856699924551,138
PPP4R1L,-0.008382697762010711,0.010465319569016964,42
RNF2,0.006793345787427544,0.013178121554159724,122
BCL6,0.0010983315788680949,-0.012235308529087028,49
NAA10,-0.007721425006095081,-0.003207000282681869,96
DCAF7,0.0031954574675220684,-0.004601885957548263,58
RYBP,0.01304073040365007,0.005956588673986545,139
CBX8,-0.0019675083089504566,-0.011811988604012141,52
