case_id,test_case,tree_inference,internal_nodes,edge_tested_count,edge_significant_count,min_edge_p_value_bh_all_nodes,sibling_bh_different_count,sibling_skipped_count,min_sparse_p_value_all_nodes,min_dense_p_value_all_nodes,min_fixed_coordinate_bh_p_value_all_nodes,min_fixed_global_p_value_all_nodes
dim_consolidated_4c_72f_continuous,24,median,159,2,0,0.17366206087444175,0,319,0.00020776569933091243,0.08660794118687261,0.00020776569933091243,0.08660794118687261
dim_consolidated_4c_72f_continuous,24,ward,159,2,0,0.5156611651102827,0,319,0.0008717986171987047,0.06881486671629322,0.0008717986171987047,0.06881486671629322
dim_diffuse_6c_136f_continuous,25,average,179,2,0,0.8603524635114308,0,359,0.01105569882795392,0.14239958997245597,0.01105569882795392,0.14239958997245597
dim_diffuse_6c_136f_continuous,25,complete,179,2,0,0.8603524635114308,0,359,0.01105569882795392,0.14239958997245597,0.01105569882795392,0.14239958997245597
dim_diffuse_6c_136f_continuous,25,weighted,179,2,0,0.8603524635114308,0,359,0.01105569882795392,0.14239958997245597,0.01105569882795392,0.14239958997245597
dim_diffuse_6c_136f_continuous,25,single,179,2,0,0.8603524635114308,0,359,0.01105569882795392,0.14239958997245597,0.01105569882795392,0.14239958997245597
dim_diffuse_6c_136f_continuous,25,centroid,179,2,0,0.011939579260346483,0,359,0.005610686689377224,0.232315835816481,0.005610686689377224,0.232315835816481
dim_diffuse_6c_136f_continuous,25,median,179,2,0,0.011939579260346483,0,359,0.005610686689377224,0.232315835816481,0.005610686689377224,0.232315835816481
dim_diffuse_6c_136f_continuous,25,ward,179,2,0,0.8603524635114308,0,359,0.01105569882795392,0.14239958997245597,0.01105569882795392,0.14239958997245597
gauss_single_outlier_4c_continuous,29,average,160,2,0,0.45550717352717063,0,321,2.152877868778157e-08,9.221295113012971e-05,2.152877868778157e-08,9.221295113012971e-05
gauss_single_outlier_4c_continuous,29,complete,160,2,0,0.45550717352717063,0,321,2.152877868778157e-08,9.221295113012971e-05,2.152877868778157e-08,9.221295113012971e-05
gauss_single_outlier_4c_continuous,29,weighted,160,2,0,0.45550717352717063,0,321,2.152877868778157e-08,9.221295113012971e-05,2.152877868778157e-08,9.221295113012971e-05
gauss_single_outlier_4c_continuous,29,single,160,2,0,0.45550717352717063,0,321,2.152877868778157e-08,9.221295113012971e-05,2.152877868778157e-08,9.221295113012971e-05
gauss_single_outlier_4c_continuous,29,centroid,160,2,0,0.6284216332068348,0,321,0.000153442595750116,0.01357976399515801,0.000153442595750116,0.01357976399515801
gauss_single_outlier_4c_continuous,29,median,160,2,0,0.6284216332068348,0,321,0.000153442595750116,0.01357976399515801,0.000153442595750116,0.01357976399515801
gauss_single_outlier_4c_continuous,29,ward,160,2,0,0.45550717352717063,0,321,2.152877868778157e-08,9.221295113012971e-05,2.152877868778157e-08,9.221295113012971e-05
gauss_outlier_cluster_4c_continuous,30,average,165,2,0,0.637371390388745,0,331,0.011142688393421226,0.0023121340238149964,0.011142688393421226,0.0023121340238149964
gauss_outlier_cluster_4c_continuous,30,complete,165,2,0,0.637371390388745,0,331,0.011142688393421226,0.0023121340238149964,0.011142688393421226,0.0023121340238149964
gauss_outlier_cluster_4c_continuous,30,weighted,165,2,0,0.637371390388745,0,331,0.011142688393421226,0.0023121340238149964,0.011142688393421226,0.0023121340238149964
gauss_outlier_cluster_4c_continuous,30,single,165,2,0,0.637371390388745,0,331,0.011142688393421226,0.0023121340238149964,0.011142688393421226,0.0023121340238149964
