case_id,test_case,tree_inference,run_id,status,found_clusters,ari,nmi,labels_length,skip_reason
overlap_heavy_8c_large_feat,88,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,1.0,0.0,0.0,800.0,
overlap_heavy_8c_large_feat,88,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,1.0,0.0,0.0,800.0,
overlap_heavy_8c_large_feat,88,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,1.0,0.0,0.0,800.0,
overlap_heavy_8c_large_feat,88,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,1.0,0.0,0.0,800.0,
overlap_heavy_8c_large_feat,88,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,skip,,,,,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 799 selected non-null positive-weight record(s), which are not valid empirical-null calibration support."
overlap_heavy_8c_large_feat,88,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,ok,1.0,0.0,0.0,800.0,
overlap_extreme_4c,89,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,1.0,0.0,0.0,600.0,
overlap_extreme_4c,89,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,1.0,0.0,0.0,600.0,
overlap_extreme_4c,89,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,1.0,0.0,0.0,600.0,
overlap_extreme_4c,89,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,1.0,0.0,0.0,600.0,
overlap_extreme_4c,89,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,1.0,0.0,0.0,600.0,
overlap_extreme_4c,89,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,1.0,0.0,0.0,600.0,
overlap_extreme_4c,89,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,ok,1.0,0.0,0.0,600.0,
overlap_extreme_4c,89,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,ok,1.0,0.0,0.0,600.0,
cont_lowrank_pggn_shrinkage,117,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,1.0,0.0,0.0,80.0,
cont_lowrank_pggn_shrinkage,117,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,1.0,0.0,0.0,80.0,
cont_lowrank_pggn_shrinkage,117,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,1.0,0.0,0.0,80.0,
cont_lowrank_pggn_shrinkage,117,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,1.0,0.0,0.0,80.0,
cont_lowrank_pggn_shrinkage,117,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,1.0,0.0,0.0,80.0,
cont_lowrank_pggn_shrinkage,117,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,1.0,0.0,0.0,80.0,
cont_lowrank_pggn_shrinkage,117,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,ok,1.0,0.0,0.0,80.0,
cont_lowrank_pggn_shrinkage,117,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,skip,,,,,MAD rooting requires positive distances between leaf pairs.
