gene,tree_distance_axis_1,tree_distance_axis_2,cluster_id
RGL2,-0.12246984640616186,-0.14052434875602865,33
CDK1,-0.1713522525556952,0.12520517482418284,7
BCOR,-0.2077570656816614,-0.0021073610087395263,11
CELA1,0.2716719430109168,0.17955452394237092,0
CSN1S1,0.2973389545746498,0.1328374127433604,0
CBX7,-0.18974682604463866,0.031921102202688505,22
ZBTB5,-0.004823823386451239,0.013909197378903192,100
PCGF5,-0.19480659833524314,0.034765533252162105,21
HAO2,0.2761063979447913,0.17267568855641702,0
KDM2B,-0.198933640652975,0.01818357166334298,16
ZBTB7A,-0.20266854397101852,0.020379111343484285,12
PCGF1,0.03577201554953309,0.17686935265205803,77
PCGF3,0.010396584436426609,0.18129594427736231,84
L3MBTL1,-0.054912935106786,0.15667835837658795,70
CARD8,0.1420399831966149,0.06261191332411416,105
NACC1,0.16542645076556764,-0.09158119558707818,59
PCGF2,-0.01616416214973027,0.181864989898996,73
HSPA12A,-0.12897427623342017,-0.15082364048464916,30
MLLT1,0.033532528565048854,0.011635939682554124,90
ERP44,-0.1417019149533508,-0.13906917482285222,26
NFIC,-0.057192558505108036,0.1660273338326034,69
SNAPC4,-0.12451385122622642,-0.15105363414974546,27
MLLT3,0.031867900010454885,-0.17760159841302384,46
QPRT,0.14249201750309975,0.05838076177145608,102
KPNA4,0.0011072747636623134,0.003567107798529455,97
NFIA,0.021385900760224247,0.18032947634682175,82
CBX4,-0.19919575987814592,0.01815277224869342,16
NFIX,-0.2023278524759793,0.02072232467441639,12
SHARPIN,-0.12538633471102975,-0.15125579028556652,29
RING1,0.014354120582019554,0.18239351706977475,89
C6ORF141,-0.12329749864725816,-0.14069041086038128,35
YAF2,-0.01570685149069376,0.17324837480099847,76
PPP4R1L,0.13104294638227004,-0.1300757094041435,57
RNF2,-0.17373778966139666,0.12677295408620587,6
BCL6,-0.01655005918006576,0.180252445337082,71
NAA10,0.279209467054847,0.16762935416844219,0
DCAF7,0.010394025150562989,0.18128696934038546,85
RYBP,0.01657265192085849,0.1703074382010222,80
CBX8,-0.0005531884812831702,0.004914938729951407,97
PIP,0.1293774528565326,0.08343626386074048,111
NCAPH2,-0.1224000040805058,-0.140793720196189,34
B4GALT2,0.1658560061132671,-0.09267009351024735,64
SP1,-0.17492108941850382,0.11962994385621648,1
CTBP1,-0.1713847762589616,0.12503135015300884,8
CDC16,0.14340598507013239,-0.1344566011345472,50
CBX3,-0.17472616813838832,0.11981458820537572,2
BRAF,0.03005409251669462,0.025400910022229797,95
CCDC96,0.03807530670523983,-0.18781346517803485,39
CBX6,0.1449002653217353,0.06266362783946429,103
SKP1,-0.0029448726087716957,0.017450593929914198,99
S100P,0.035792257339063556,-0.18952050668254408,40
USP7,-0.015114747272242022,0.17105235258258164,74
