case_id,test_case,method,status,skip_reason,samples,features,true_clusters,found_clusters,ari,nmi,macro_f1,purity,silhouette_score,calinski_harabasz_index,davies_bouldin_index,cluster_count_abs_error,over_split,under_split,effective_cluster_count,largest_cluster_fraction,tree_build_sec,labels_length
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools_adaptive_nnls_ward,ok,,160,24,4,4,0.4425737138428084,0.6146264000426847,0.763552752229848,0.75625,0.0648974430014287,10.30272816290561,2.757935972485356,0.0,0.0,0.0,3.433955905063533,0.49375,0.001205375010613352,160
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ok,,160,24,4,4,0.6867739105930168,0.6819923393649624,0.8756624788381003,0.875,0.07445106477895953,11.218057429535405,2.767124037816473,0.0,0.0,0.0,3.9455130112987162,0.29375,1.289285332954023,160
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools_adaptive_nnls,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.09654526534309,2.8477027431230404,0.0,0.0,0.0,4.0,0.25,0.0021537080174311996,200
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools_adaptive_nnls_complete,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.09654526534308,2.8477027431230404,0.0,0.0,0.0,4.0,0.25,0.001003708050120622,200
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools_adaptive_nnls_weighted,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.09654526534308,2.8477027431230404,0.0,0.0,0.0,4.0,0.25,0.0009569169487804174,200
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools_adaptive_nnls_single,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.09654526534308,2.847702743123041,0.0,0.0,0.0,4.0,0.25,0.0009096669964492321,200
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools_adaptive_nnls_centroid,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.09654526534309,2.8477027431230404,0.0,0.0,0.0,4.0,0.25,0.0007476250175386667,200
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools_adaptive_nnls_median,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.09654526534308,2.8477027431230404,0.0,0.0,0.0,4.0,0.25,0.0007226669695228338,200
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools_adaptive_nnls_ward,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.09654526534309,2.8477027431230404,0.0,0.0,0.0,4.0,0.25,0.0010242499993182719,200
cat_highd_3cat_500feat,5,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ok,,200,1500,4,4,1.0,1.0,1.0,1.0,0.10307516027702875,18.096545265343085,2.8477027431230404,0.0,0.0,0.0,4.0,0.25,1.5186716669704765,200
